row_label_raw,row_label_full,col_0,Giá trị,Dự phòng,Giá trị_1,Dự phòng_1,numeric__Giá trị,numeric__Dự phòng,numeric__Giá trị_1,numeric__Dự phòng_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,195.232.162.411,,188.090.529.052,,195232162411.0,,188090529052.0,
Tạm ứng,Tạm ứng,Tạm ứng,166.228.872.601,,169.859.282.553,,166228872601.0,,169859282553.0,
- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,- Bùi Thị Ngọc Linh,1.250.084.147,,28.753.397.000,,1250084147.0,,28753397000.0,
- Lê Văn Ba,- Lê Văn Ba,- Lê Văn Ba,16.348.184.585,,19.511.827.000,,16348184585.0,,19511827000.0,
- CBCNV khác,- CBCNV khác,- CBCNV khác,148.630.603.869,,121.594.058.553,,148630603869.0,,121594058553.0,
Phải thu khác,Phải thu khác,Phải thu khác,28.844.720.631,,18.231.246.499,,28844720631.0,,18231246499.0,
Bên khác,Bên khác,Bên khác,16.502.831.631,,7.889.357.499,,16502831631.0,,7889357499.0,
Bên liên quan,Bên liên quan,Bên liên quan,12.341.889.000,,10.341.889.000,,12341889000.0,,10341889000.0,
Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,365.000.000,,365.000.000,,365000000.0,,365000000.0,
Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,11.976.889.000,,9.976.889.000,,11976889000.0,,9976889000.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",158.569.179,,,,158569179.0,,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,12.523.594.250,,12.523.594.250,,12523594250.0,,12523594250.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",12.523.594.250,,12.523.594.250,,12523594250.0,,12523594250.0,
Cộng,Cộng,Cộng,207.755.756.661,,200.614.123.302,,207755756661.0,,200614123302.0,
