row_label_raw,row_label_full,Bên cho vay,Hợp đồng/Khế ước,Hạn mức/Số tiền vay,Dư nợ vay,Thời hạn vay (Thắng),Lãi suất (%),Mục đích vay,Hình thức đảm bảo,numeric__Hợp đồng/Khế ước,numeric__Hạn mức/Số tiền vay,numeric__Dư nợ vay,numeric__Thời hạn vay (Thắng),numeric__Lãi suất (%),numeric__Mục đích vay,numeric__Hình thức đảm bảo
Bên cho vay,Bên cho vay,Bên cho vay,Hợp đồng/Khế ước,VND/USD,VND,Thời hạn vay (Thắng),Lãi suất (%),Mục đích vay,Hình thức đảm bảo,,,,,,,
Ngân hàng TMCP Thịnh Vượng và Phát Triển -CN An Giang,Bên cho vay > Ngân hàng TMCP Thịnh Vượng và Phát Triển -CN An Giang,Ngân hàng TMCP Thịnh Vượng và Phát Triển -CN An Giang,540.0436A/HDTD,395.000.000.000,362.150.000.000,84,Theo từng khế ước nhận nợ,"Vay bù đắp DA ""Khu đô thị mới Sao Mai Lam Sơn - Sao Vàng""",BĐS + BĐS hình thành từ dự án+HĐTG,,395000000000.0,362150000000.0,84.0,,,
Ngân hàng TMCP Thịnh Vượng và Phát Triển -CN An Giang,Bên cho vay > Ngân hàng TMCP Thịnh Vượng và Phát Triển -CN An Giang,Ngân hàng TMCP Thịnh Vượng và Phát Triển -CN An Giang,540.0436B.2024/HĐTD-DN/PGBANK,150.000.000.000,137.517.450.000,84,Theo từng khế ước nhận nợ,"Vay bổ sung hoàn thiện DA ""KDT mới Sao Mai Lam Sơn - Sao Vàng""",BĐS + BĐS hình thành từ dự án+HĐTG,,150000000000.0,137517450000.0,84.0,,,
Ngân hàng TMCP công thương Đồng Tháp,Bên cho vay > Ngân hàng TMCP công thương Đồng Tháp,Ngân hàng TMCP công thương Đồng Tháp,161/2023 - HĐCVDADT/NHCT720-TẬP ĐOÀN SAO MAI,1.027.000.000.000,627.000.000.000,70,Theo từng khế ước nhận nợ,"Dự án điện mặt trời giai đoạn 1,2",TSCĐ hình thành từ dự án,,1027000000000.0,627000000000.0,70.0,,,
Ngân hàng TMCP công thương Đồng Tháp,Bên cho vay > Ngân hàng TMCP công thương Đồng Tháp,Ngân hàng TMCP công thương Đồng Tháp,162/2023 -01161/2023 - HĐCVDADT/NHCT720-TẬP ĐOÀN SAO MAI,1.139.000.000.000,967.000.000.000,109,Theo từng khế ước nhận nợ,"Dự án điện mặt trời giai đoạn 3,4",TSCĐ hình thành từ dự án,,1139000000000.0,967000000000.0,109.0,,,
Đối tượng khác,Bên cho vay > Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,1.417.906.473.561,22,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,1417906473561.0,22.0,,,
Công ty TNHH Sinh Học Maiki Japan,Bên cho vay > Công ty TNHH Sinh Học Maiki Japan,Công ty TNHH Sinh Học Maiki Japan,01.2024/HĐVV/SM.Maiki,,16.560.000.000,trừ 12 tháng,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,16560000000.0,,,,
Đối tượng khác,Bên cho vay > Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,791.487.266.765,12,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,791487266765.0,12.0,,,
Tổng cộng:,Bên cho vay > Tổng cộng:,Tổng cộng:,,,6.905.048.686.502,,,,,,,6905048686502.0,,,,
