row_label_raw,row_label_full,- Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế trong năm hiện hành,Năm nay > 1.450.250.467,Năm trước > 6.408.882.511,numeric__Năm nay > 1.450.250.467,numeric__Năm trước > 6.408.882.511
Lợi nhuận KT trước thuế (1),Lợi nhuận KT trước thuế (1),Lợi nhuận KT trước thuế (1),107.353.640.925,196.739.119.159,107353640925.0,196739119159.0
Các khoản điều chỉnh giảm (2),Các khoản điều chỉnh giảm (2),Các khoản điều chỉnh giảm (2),243.500.000.000,195.011.752.052,243500000000.0,195011752052.0
- Các khoản thu nhập không tính thuế (cổ tức được chia),- Các khoản thu nhập không tính thuế (cổ tức được chia),- Các khoản thu nhập không tính thuế (cổ tức được chia),243.500.000.000,195.011.752.052,243500000000.0,195011752052.0
Các khoản điều chỉnh tăng (3),Các khoản điều chỉnh tăng (3),Các khoản điều chỉnh tăng (3),165.151.368.416,126.450.283.115,165151368416.0,126450283115.0
- Lãi vay bị loại và chi phí khác không được trừ,- Lãi vay bị loại và chi phí khác không được trừ,- Lãi vay bị loại và chi phí khác không được trừ,165.151.368.416,126.450.283.115,165151368416.0,126450283115.0
Thu nhập tính thuế = (1) - (2) + (3),Thu nhập tính thuế = (1) - (2) + (3),Thu nhập tính thuế = (1) - (2) + (3),29.005.009.341,128.177.650.222,29005009341.0,128177650222.0
Thuế suất (*),Thuế suất (*),Thuế suất (*),5%,5%,0.05,0.05
Thuế TNDN hiện hành,Thuế TNDN hiện hành,Thuế TNDN hiện hành,1.450.250.467,6.408.882.511,1450250467.0,6408882511.0
- Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này (**),- Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này (**),- Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này (**),5.219.080.287,,5219080287.0,
Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,6.669.330.754,6.408.882.511,6669330754.0,6408882511.0
