row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,1.238.857.289.088,1.238.857.289.088,1.025.569.537.217,933.596.137.649,1.146.883.889.520,1.146.883.889.520,1238857289088.0,1238857289088.0,1025569537217.0,933596137649.0,1146883889520.0,1146883889520.0
Bên khác,Bên khác,Bên khác,1.222.297.289.088,1.222.297.289.088,1.025.569.537.217,933.296.137.649,1.130.023.889.520,1.130.023.889.520,1222297289088.0,1222297289088.0,1025569537217.0,933296137649.0,1130023889520.0,1130023889520.0
- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,- Ngân hàng BIDV-CN Đồng Bằng Sông Cửu Long,184.360.589.808,184.360.589.808,290.540.071.358,179.195.036.550,73.015.555.000,73.015.555.000,184360589808.0,184360589808.0,290540071358.0,179195036550.0,73015555000.0,73015555000.0
- Ngân hàng TMCP Tiên Phong - CN An Giang,- Ngân hàng TMCP Tiên Phong - CN An Giang,- Ngân hàng TMCP Tiên Phong - CN An Giang,207.539.279.555,207.539.279.555,547.757.759.513,583.221.155.227,243.002.675.269,243.002.675.269,207539279555.0,207539279555.0,547757759513.0,583221155227.0,243002675269.0,243002675269.0
- Ngân hàng TMCP Việt nam Thịnh Vương - CN An Giang,- Ngân hàng TMCP Việt nam Thịnh Vương - CN An Giang,- Ngân hàng TMCP Việt nam Thịnh Vương - CN An Giang,,,,19.840.495.000,19.840.495.000,19.840.495.000,,,,19840495000.0,19840495000.0,19840495000.0
- Ngân hàng TMCP Á Châu - CN An Giang,- Ngân hàng TMCP Á Châu - CN An Giang,- Ngân hàng TMCP Á Châu - CN An Giang,33.988.877.960,33.988.877.960,76.942.043.210,81.366.103.824,38.412.938.574,38.412.938.574,33988877960.0,33988877960.0,76942043210.0,81366103824.0,38412938574.0,38412938574.0
- Ngân hàng TMCP Hàng Hải Việt Nam - CN An Giang,- Ngân hàng TMCP Hàng Hải Việt Nam - CN An Giang,- Ngân hàng TMCP Hàng Hải Việt Nam - CN An Giang,4.921.275.000,4.921.275.000,4.921.275.000,,,,4921275000.0,4921275000.0,4921275000.0,,,
- Ngân hàng Đông Á - CN An Giang,- Ngân hàng Đông Á - CN An Giang,- Ngân hàng Đông Á - CN An Giang,,,979.295.000,979.295.000,,,,,979295000.0,979295000.0,,
- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,,,,35.243.550.000,35.243.550.000,35.243.550.000,,,,35243550000.0,35243550000.0,35243550000.0
- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN Hà Nội,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN Hà Nội,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN Hà Nội,,,,11.780.000.000,11.780.000.000,11.780.000.000,,,,11780000000.0,11780000000.0,11780000000.0
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,791.487.266.765,791.487.266.765,104.429.093.136,21.670.502.048,708.728.675.677,708.728.675.677,791487266765.0,791487266765.0,104429093136.0,21670502048.0,708728675677.0,708728675677.0
Bên liên quan,Bên liên quan,Bên liên quan,16.560.000.000,16.560.000.000,,300.000.000,16.860.000.000,16.860.000.000,16560000000.0,16560000000.0,,300000000.0,16860000000.0,16860000000.0
- Công ty TNHH Sinh Học MAIKI JAPAN,- Công ty TNHH Sinh Học MAIKI JAPAN,- Công ty TNHH Sinh Học MAIKI JAPAN,16.560.000.000,16.560.000.000,,300.000.000,16.860.000.000,16.860.000.000,16560000000.0,16560000000.0,,300000000.0,16860000000.0,16860000000.0
