row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),+ Công ty Cổ phần Du Lịch An Giang (Công ty con),,,
,,,1. Bán hàng trong năm,903.251.800,,,903251800.0,
,,,"- Nhà hàng, KS, tour du lịch",903.251.800,,,903251800.0,
,,,2. Mua hàng trong năm,5.470.826.730,6.605.325.678,,5470826730.0,6605325678.0
,,,"- Nhà hàng, KS, tour du lịch",5.017.506.730,6.605.325.678,,5017506730.0,6605325678.0
,,,"- Nước uống đóng chai, đóng bình An Hảo",453.320.000,,,453320000.0,
,,,3. Cho vay huy động,59.300.000.000,47.200.000.000,,59300000000.0,47200000000.0
,,,- Cho vay vốn,59.300.000.000,47.200.000.000,,59300000000.0,47200000000.0
,,,4. Thu trong năm,44.216.876.000,46.529.718.000,,44216876000.0,46529718000.0
,,,- Thu tiền vay,36.000.000.000,39.500.000.000,,36000000000.0,39500000000.0
,,,- Thu lãi vay,8.216.876.000,7.029.718.000,,8216876000.0,7029718000.0
+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),+ Công ty Cổ phần Du Lịch Đồng Tháp (Công ty con),,,
,,,1. Bán hàng trong năm,1.196.055.009,1.400.885.381,,1196055009.0,1400885381.0
,,,"- Nhà hàng, khách sạn",789.055.009,1.030.885.381,,789055009.0,1030885381.0
,,,- Thuế tài sản,407.000.000,370.000.000,,407000000.0,370000000.0
,,,2. Mua hàng trong năm,1.829.663.400,1.150.148.961,,1829663400.0,1150148961.0
,,,"- Nhà hàng, KS, vé máy bay",1.829.663.400,1.150.148.961,,1829663400.0,1150148961.0
,,,3. Cho vay huy động,4.400.000.000,,,4400000000.0,
,,,- Cho vay vốn,4.400.000.000,,,4400000000.0,
,,,4. Thu tiền trong năm,4.476.829.000,13.238.663.000,,4476829000.0,13238663000.0
,,,- Vay huy động vốn,,1.200.000.000,,,1200000000.0
,,,- Thu tiền cho vay,4.400.000.000,9.000.000.000,,4400000000.0,9000000000.0
,,,- Thu lãi vay,76.829.000,38.663.000,,76829000.0,38663000.0
,,,- Thu tiền mượn tạm,,3.000.000.000,,,3000000000.0
,,,5. Chi tiền trong năm,,4.613.424.000,,,4613424000.0
,,,- Trả tiền vay,,1.200.000.000,,,1200000000.0
,,,- Lãi vay,,413.424.000,,,413424000.0
,,,- Trả tiền mượn tạm,,3.000.000.000,,,3000000000.0
+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),+ Công ty TNHH Sao Mai Super Feed (Công ty con),,,
,,,1. Bán hàng trong năm,,5.800.000,,,5800000.0
,,,"- Nhà hàng, khách sạn",,5.800.000,,,5800000.0
,,,2. Thu tiền trong năm,130.000.000.000,223.070.000.000,,130000000000.0,223070000000.0
,,,- Thu tiền cổ tức,130.000.000.000,160.000.000.000,,130000000000.0,160000000000.0
,,,- Vay huy động vốn,,63.070.000.000,,,63070000000.0
,,,3. Chi tiền trong năm,,137.275.036.000,,,137275036000.0
,,,- Trả tiền vay,,126.000.000.000,,,126000000000.0
,,,- Trả lãi vay,,11.275.036.000,,,11275036000.0
