row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giản,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giản,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
b) Vay dài hạn - VND,b) Vay dài hạn - VND,b) Vay dài hạn - VND,3.531.432.697.414,3.531.432.697.414,1.672.986.663.909,1.704.131.252.500,3.562.577.286.005,3.562.577.286.005,3531432697414.0,3531432697414.0,1672986663909.0,1704131252500.0,3562577286005.0,3562577286005.0
Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,3.531.432.697.414,3.531.432.697.414,1.672.986.663.909,1.704.131.252.500,3.562.577.286.005,3.562.577.286.005,3531432697414.0,3531432697414.0,1672986663909.0,1704131252500.0,3562577286005.0,3562577286005.0
Bên khác,Bên khác,Bên khác,3.531.432.697.414,3.531.432.697.414,1.612.286.663.909,1.557.431.252.500,3.476.577.286.005,3.476.577.286.005,3531432697414.0,3531432697414.0,1612286663909.0,1557431252500.0,3476577286005.0,3476577286005.0
NH TMCP Thịnh Vương và Phát Triển - CN Hà Nội,NH TMCP Thịnh Vương và Phát Triển - CN Hà Nội,NH TMCP Thịnh Vương và Phát Triển - CN Hà Nội,164.660.000.000,164.660.000.000,,23.569.000.000,188.220.000.000,188.220.000.000,164660000000.0,164660000000.0,,23569000000.0,188220000000.0,188220000000.0
- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,- Ngân hàng TMCP Thịnh Vương và Phát Triển - CN An Giang,449.685.950.000,449.685.950.000,121.468.000.000,59.721.500.000,387.939.450.000,387.939.450.000,449685950000.0,449685950000.0,121468000000.0,59721500000.0,387939450000.0,387939450000.0
- Ngân hàng TMCP Việt nam Thịnh Vương - CN An Giang,- Ngân hàng TMCP Việt nam Thịnh Vương - CN An Giang,- Ngân hàng TMCP Việt nam Thịnh Vương - CN An Giang,264.736.673.853,264.736.673.853,48.016.000.000,57.736.000.000,274.456.673.853,274.456.673.853,264736673853.0,264736673853.0,48016000000.0,57736000000.0,274456673853.0,274456673853.0
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,1.417.906.473.561,1.417.906.473.561,1.386.954.663.909,1.000.626.952.500,1.031.578.762.152,1.031.578.762.152,1417906473561.0,1417906473561.0,1386954663909.0,1000626952500.0,1031578762152.0,1031578762152.0
Vay dài hạn - USD,Vay dài hạn - USD,Vay dài hạn - USD,1.234.443.600.000,1.234.443.600.000,55.848.000.000,415.786.800.000,1.594.382.400.000,1.594.382.400.000,1234443600000.0,1234443600000.0,55848000000.0,415786800000.0,1594382400000.0,1594382400000.0
- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,1.234.443.600.000,1.234.443.600.000,55.848.000.000,415.786.800.000,1.594.382.400.000,1.594.382.400.000,1234443600000.0,1234443600000.0,55848000000.0,415786800000.0,1594382400000.0,1594382400000.0
Bên liên quan,Bên liên quan,Bên liên quan,,,60.700.000.000,146.700.000.000,86.000.000.000,86.000.000.000,,,60700000000.0,146700000000.0,86000000000.0,86000000000.0
- Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,- Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,- Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,,,60.700.000.000,146.700.000.000,86.000.000.000,86.000.000.000,,,60700000000.0,146700000000.0,86000000000.0,86000000000.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,1.302.000.000.000,1.302.000.000.000,,292.000.000.000,1.594.000.000.000,1.594.000.000.000,1302000000000.0,1302000000000.0,,292000000000.0,1594000000000.0,1594000000000.0
- Ngân Hàng Công Thương - CN Đồng Tháp,- Ngân Hàng Công Thương - CN Đồng Tháp,- Ngân Hàng Công Thương - CN Đồng Tháp,1.302.000.000.000,1.302.000.000.000,,292.000.000.000,1.594.000.000.000,1.594.000.000.000,1302000000000.0,1302000000000.0,,292000000000.0,1594000000000.0,1594000000000.0
Cộng,Cộng,Cộng,4.833.432.697.414,4.833.432.697.414,1.672.986.663.909,1.996.131.252.500,5.156.577.286.005,5.156.577.286.005,4833432697414.0,4833432697414.0,1672986663909.0,1996131252500.0,5156577286005.0,5156577286005.0
