row_label_raw,row_label_full,Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_1,Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_2,Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_3,Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_4,Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_5,Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_6,numeric__Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_1,numeric__Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_2,numeric__Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_3,numeric__Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_4,numeric__Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_5,numeric__Thòng tin bộ phận (tiếp theo)a. Khu vực địa lý- Tài sản và nợ phải trả bộ phận theo khu vực địa lý_6
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,6.463.190.481.827,1.660.876.749.361,3.529.835.039.425,11.653.902.270.613,,,6463190481827.0,1660876749361.0,3529835039425.0,11653902270613.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,6.463.190.481.827,1.660.876.749.361,3.529.835.039.425,11.653.902.270.613,,,6463190481827.0,1660876749361.0,3529835039425.0,11653902270613.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,Tổng tài sản,,6.463.190.481.827,1.660.876.749.361,3.529.835.039.425,11.653.902.270.613,,,6463190481827.0,1660876749361.0,3529835039425.0,11653902270613.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,,211.175.259.695,9.181.591.126,119.852.789.002,340.209.639.823,,,211175259695.0,9181591126.0,119852789002.0,340209639823.0
Nợp phải trả không phân bổ,Số đầu năm > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,211.175.259.695,9.181.591.126,119.852.789.002,6.997.990.775.525,,,211175259695.0,9181591126.0,119852789002.0,6997990775525.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,211.175.259.695,9.181.591.126,119.852.789.002,7.338.200.415.348,,,211175259695.0,9181591126.0,119852789002.0,7338200415348.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng cộng,,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,595.546.794.790,49.541.790.348,5.620.000.000,1.914.256.640.611,61.460.365.081,2.626.425.590.830,595546794790.0,49541790348.0,5620000000.0,1914256640611.0,61460365081.0,2626425590830.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,4.049.868.236.393,5.254.457.305.513,173.642.088.866,1.680.505.011.283,1.040.081.002.576,12.198.553.644.631,4049868236393.0,5254457305513.0,173642088866.0,1680505011283.0,1040081002576.0,12198553644631.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,70.463.752.154,,,,,,70463752154.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
