row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản (Công ty con),,,
,,,1. Vay huy động,,26.700.000.000,,,26700000000.0
,,,- Vay huy động vốn,,26.700.000.000,,,26700000000.0
,,,2. Thu tiền trong năm,43.600.000.000,46.000.000.000,,43600000000.0,46000000000.0
,,,- Thu tiền mượn tạm,43.600.000.000,46.000.000.000,,43600000000.0,46000000000.0
,,,3. Chi tiền trong năm,43.600.000.000,259.542.543.000,,43600000000.0,259542543000.0
,,,- Trả tiền vay,,199.700.000.000,,,199700000000.0
,,,- Lãi vay phải trả,,13.842.543.000,,,13842543000.0
,,,- Cho mượn tạm,43.600.000.000,46.000.000.000,,43600000000.0,46000000000.0
+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),+ Công ty TNHH Sinh Học MAIKI JAPAN (Công ty con),,,
,,,1. Bán hàng trong năm,1.596.000.000,,,1596000000.0,
,,,- Cho thuê văn phòng,1.596.000.000,,,1596000000.0,
,,,2. Vay huy động,,17.260.000.000,,,17260000000.0
,,,- Vay huy động vốn,,17.260.000.000,,,17260000000.0
,,,3. Chi tiền trong năm,1.395.208.000,954.434.000,,1395208000.0,954434000.0
,,,- Trả tiền vay,300.000.000,400.000.000,,300000000.0,400000000.0
,,,- Lãi vay phải trả,1.095.208.000,554.434.000,,1095208000.0,554434000.0
+ Công ty CP Dũng Thịnh Phát Sài Gòn (Công ty con),+ Công ty CP Dũng Thịnh Phát Sài Gòn (Công ty con),+ Công ty CP Dũng Thịnh Phát Sài Gòn (Công ty con),+ Công ty CP Dũng Thịnh Phát Sài Gòn (Công ty con),+ Công ty CP Dũng Thịnh Phát Sài Gòn (Công ty con),+ Công ty CP Dũng Thịnh Phát Sài Gòn (Công ty con),,,
,,,1. Chi tiền trong năm,,50.000.000,,,50000000.0
,,,- Cho mượn tạm,,50.000.000,,,50000000.0
+ Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông (Công ty con),+ Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông (Công ty con),+ Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông (Công ty con),+ Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông (Công ty con),+ Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông (Công ty con),+ Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông (Công ty con),,,
,,,1. Chi tiền trong năm,2.000.000.000,2.900.000.000,,2000000000.0,2900000000.0
,,,- Cho mượn tạm,2.000.000.000,2.900.000.000,,2000000000.0,2900000000.0
"Cho đến ngày lập Báo cáo tài chính riêng này, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính riêng này, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính riêng này, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính riêng này, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính riêng này, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính riêng này, các khoản chưa được thanh toán với các bên liên quan như sau:",,,
