row_label_raw,row_label_full,col_0,B2 fiscal year,B2 fiscal year_1,numeric__B2 fiscal year,numeric__B2 fiscal year_1
"a) Chi phí sản xuất, kinh doanh dở dang dài hạn","a) Chi phí sản xuất, kinh doanh dở dang dài hạn","a) Chi phí sản xuất, kinh doanh dở dang dài hạn","a) Chi phí sản xuất, kinh doanh dở dang dài hạn","a) Chi phí sản xuất, kinh doanh dở dang dài hạn",,
b) Xây dựng cơ bản dở dang,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > b) Xây dựng cơ bản dở dang",b) Xây dựng cơ bản dở dang,229.216.761.802,508.127.681.338,229216761802.0,508127681338.0
Mua sắm TSCĐ,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > Mua sắm TSCĐ",Mua sắm TSCĐ,1.024.222.222,17.988.430.972,1024222222.0,17988430972.0
Xây dựng cơ bản,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > Xây dựng cơ bản",Xây dựng cơ bản,228.192.539.580,490.139.250.366,228192539580.0,490139250366.0
- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > - Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang",- Nhà máy điện năng lượng mặt trời - Tịnh Biên An Giang,55.992.877.500,55.992.877.500,55992877500.0,55992877500.0
- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > - Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk",- Dự án năng lượng mặt trời Tại Huyện Ea H'Leo - Đắk Lắk,174.000.000,174.000.000,174000000.0,174000000.0
- Khu Resort Thọ Xuân Lamori Resort & Spa Thanh Hóa (KINGLE),"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > - Khu Resort Thọ Xuân Lamori Resort & Spa Thanh Hóa (KINGLE)",- Khu Resort Thọ Xuân Lamori Resort & Spa Thanh Hóa (KINGLE),168.454.396.862,429.680.781.098,168454396862.0,429680781098.0
- Văn Phòng - CN Đắk Nông,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > - Văn Phòng - CN Đắk Nông",- Văn Phòng - CN Đắk Nông,1.328.064.636,1.328.064.636,1328064636.0,1328064636.0
- Công trình khác,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > - Công trình khác",- Công trình khác,2.243.200.582,2.963.527.132,2243200582.0,2963527132.0
Cộng,"a) Chi phí sản xuất, kinh doanh dở dang dài hạn > Cộng",Cộng,229.216.761.802,508.127.681.338,229216761802.0,508127681338.0
