row_label_raw,row_label_full,Tại ngày 31/12/2025,Từ 01 năm trở xuống,Trên 01 năm đến 05 năm,Trên 05 năm,Cộng,numeric__Từ 01 năm trở xuống,numeric__Trên 01 năm đến 05 năm,numeric__Trên 05 năm,numeric__Cộng
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,233.545.784.849,,,233.545.784.849,233545784849.0,,,233545784849.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,101.473.675.184,,,101.473.675.184,101473675184.0,,,101473675184.0
Vay và nợ,Vay và nợ,Vay và nợ,2.071.615.989.088,3.531.432.697.414,1.302.000.000.000,6.905.048.686.502,2071615989088.0,3531432697414.0,1302000000000.0,6905048686502.0
Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,458.480.672.469,,,458.480.672.469,458480672469.0,,,458480672469.0
Cộng,Cộng,Cộng,2.898.025.136.235,3.531.432.697.414,1.302.000.000.000,7.698.548.819.004,2898025136235.0,3531432697414.0,1302000000000.0,7698548819004.0
