row_label_raw,row_label_full,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_1,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_2,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_3,THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_4,numeric__THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_1,numeric__THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_2,numeric__THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_3,numeric__THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NUỐC_4
a) Phải nộp,a) Phải nộp,a) Phải nộp,Số cuối năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số đầu năm,,,,
Thuế GTGT,a) Phải nộp > Thuế GTGT,Thuế GTGT,14.000.687.385,25.430.748.219,19.838.447.809,8.408.386.975,14000687385.0,25430748219.0,19838447809.0,8408386975.0
Thuế GTGT hàng nhập khẩu,a) Phải nộp > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,,4.702.577,4.702.577,,,4702577.0,4702577.0,
Thuế thu nhập doanh nghiệp,a) Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,63.203.527,6.669.330.754,11.799.478.114,5.193.350.887,63203527.0,6669330754.0,11799478114.0,5193350887.0
Thuế thu nhập cá nhân,a) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,877.929.406,7.936.283.325,9.041.210.854,1.982.856.935,877929406.0,7936283325.0,9041210854.0,1982856935.0
"Thuế nhà đất, thuê đất...","a) Phải nộp > Thuế nhà đất, thuê đất...","Thuế nhà đất, thuê đất...",,2.691.984.219,72.038.162.219,69.346.178.000,,2691984219.0,72038162219.0,69346178000.0
"Các khoản phí, lệ phí, thuế khác","a) Phải nộp > Các khoản phí, lệ phí, thuế khác","Các khoản phí, lệ phí, thuế khác",,17.723.854,17.723.854,,,17723854.0,17723854.0,
Cộng,a) Phải nộp > Cộng,Cộng,14.941.820.318,42.750.772.948,112.739.725.427,84.930.772.797,14941820318.0,42750772948.0,112739725427.0,84930772797.0
b) Phải thu,b) Phải thu,b) Phải thu,Số cuối năm,Số piải thu trong năm,Số đã thực thu trong năm,Số đầu năm,,,,
Thuế thu nhập cá nhân,b) Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.047.976.595,,271.722.028,2.319.698.623,2047976595.0,,271722028.0,2319698623.0
Cộng,b) Phải thu > Cộng,Cộng,2.047.976.595,,271.722.028,2.319.698.623,2047976595.0,,271722028.0,2319698623.0
