row_label_raw,row_label_full,col_0,2022VND’000,2021VND’000,numeric__2022VND’000,numeric__2021VND’000
Foreign exchange gains,Foreign exchange gains,Foreign exchange gains,"458,371,098","333,321,053",,
Interest income from deposit and loans,Interest income from deposit and loans,Interest income from deposit and loans,"11,124,304","11,226,946",,
Other financial income,Interest income from deposit and loans > Other financial income,Other financial income,"738,434","74,947",738.434,74.947
,,,"470,233,836","344,622,946",,
