row_label_raw,row_label_full,col_0,Code,Note,31/12/2022 VND'000,1/1/2022 VND'000,numeric__Code,numeric__Note,numeric__31/12/2022 VND'000,numeric__1/1/2022 VND'000
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"26,273,561,415","25,010,017,858",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"17,154,059,090","7,877,179,852",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,,"1,574,455,591","1,508,640,236",311.0,,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,15,"489,804,070","34,709,351",312.0,15.0,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,16,"160,206,536","166,958,554",313.0,16.0,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"14,841,657","4,777,953",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,17,"818,655,883","1,000,544,438",315.0,17.0,,
Other short-term payables,RESOURCES > Other short-term payables,Other short-term payables,319,18,"980,622,553","342,355,463",319.0,18.0,,
Short-term borrowings and bonds,RESOURCES > Short-term borrowings and bonds,Short-term borrowings and bonds,320,19(a),"13,105,475,407","4,800,093,173",320.0,,,
Provisions - short-term,RESOURCES > Provisions - short-term,Provisions - short-term,321,,"9,997,393","19,100,684",321.0,,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"9,119,502,325","17,132,838,006",330.0,,,
Long-term borrowings and bonds,RESOURCES > Long-term borrowings and bonds,Long-term borrowings and bonds,338,19(b),"2,979,108,965","9,238,202,894",338.0,,,
Deferred tax liabilities,RESOURCES > Deferred tax liabilities,Deferred tax liabilities,341,20(a),"1,517,611,217","1,543,909,966",341.0,,,
Provisions - long-term,RESOURCES > Provisions - long-term,Provisions - long-term,342,21,"4,622,782,143","6,350,725,146",342.0,21.0,,
EQUITY (400 = 410),RESOURCES > EQUITY (400 = 410),EQUITY (400 = 410),400,,"15,247,438,774","14,341,179,324",400.0,,,
Equity,RESOURCES > Equity,Equity,410,22,"15,247,438,774","14,341,179,324",410.0,22.0,,
Share capital,RESOURCES > Share capital,Share capital,411,23,"10,991,554,200","10,991,554,200",411.0,23.0,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"10,991,554,200","10,991,554,200",,,,
Share premium,- Ordinary shares with voting rights > Share premium,Share premium,412,23,"1,098,259,892","1,098,259,892",412.0,23.0,,
Other capital,- Ordinary shares with voting rights > Other capital,Other capital,414,,"(295,683,347)","(295,683,347)",414.0,,,
Foreign exchange differences,- Ordinary shares with voting rights > Foreign exchange differences,Foreign exchange differences,417,,"(419,419,764)","(365,829,110)",417.0,,,
Other equity funds,- Ordinary shares with voting rights > Other equity funds,Other equity funds,420,,"675,544,001","(170,252,387)",420.0,,,
Retained profits after tax,- Ordinary shares with voting rights > Retained profits after tax,Retained profits after tax,421,,"3,031,229,349","2,962,204,732",421.0,,,
- Retained profits brought forward,- Retained profits brought forward,- Retained profits brought forward,421a,,"2,962,204,732","2,766,593,412",,,,
- Retained profit for the current year,- Retained profit for the current year,- Retained profit for the current year,421b,,"69,024,617","195,611,320",,,,
Non-controlling interest,- Retained profit for the current year > Non-controlling interest,Non-controlling interest,429,,"165,954,443","120,925,344",429.0,,,
TOTAL RESOURCES(440 = 300 + 400),- Retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"41,521,000,189","39,351,197,182",440.0,,,
