row_label_raw,row_label_full,Subsidiaries:,Subsidiaries:_1,Subsidiaries:_2,Subsidiaries:_3,numeric__Subsidiaries:_1,numeric__Subsidiaries:_2,numeric__Subsidiaries:_3
Name,Name,Name,Address,Principal activity,Percentage of economic interests at 31/12/2022 and 1/1/2022,,,
Direct subsidiary,Direct subsidiary,Direct subsidiary,,,,,,
Masan Thai Nguyen Resources Company Limited (“MRTN”),Direct subsidiary > Masan Thai Nguyen Resources Company Limited (“MRTN”),Masan Thai Nguyen Resources Company Limited (“MRTN”),(i) Ho Chi Minh City,Investment holding,100%,,,1.0
Indirect subsidiaries,Indirect subsidiaries,Indirect subsidiaries,,,,,,
Thai Nguyen Trading and Investment Company Ltd (“TNTI”),Indirect subsidiaries > Thai Nguyen Trading and Investment Company Ltd (“TNTI”),Thai Nguyen Trading and Investment Company Ltd (“TNTI”),(i) Ho Chi Minh City,Investment holding,100%,,,1.0
Nui Phao Mining Company Limited (“NPM”) (*),Indirect subsidiaries > Nui Phao Mining Company Limited (“NPM”) (*),Nui Phao Mining Company Limited (“NPM”) (*),(i) Thai Nguyen Province,Exploring and processing mineral,100%,,,1.0
Masan Tungsten Limited Liability Company (“MTC”),Indirect subsidiaries > Masan Tungsten Limited Liability Company (“MTC”),Masan Tungsten Limited Liability Company (“MTC”),(i) Thai Nguyen Province,Deep processing of nonferrous metals and precious metals (Tungsten),100%,,,1.0
H.C. Starck Holding (Germany) GmbH (“HCS”) (**),Indirect subsidiaries > H.C. Starck Holding (Germany) GmbH (“HCS”) (**),H.C. Starck Holding (Germany) GmbH (“HCS”) (**),"(i) Goslar, Germany",Investment holding,100%,,,1.0
ChemiLytics Beteiligungs GmbH,Indirect subsidiaries > ChemiLytics Beteiligungs GmbH,ChemiLytics Beteiligungs GmbH,"(ii) Goslar, Germany",Investment holding,100%,,,1.0
H.C. Starck GmbH,Indirect subsidiaries > H.C. Starck GmbH,H.C. Starck GmbH,"(ii) Goslar, Germany",Investment holding,100%,,,1.0
Chemische Fabriken Oker und Branschweig AG,Indirect subsidiaries > Chemische Fabriken Oker und Branschweig AG,Chemische Fabriken Oker und Branschweig AG,"(ii) Goslar, Germany",Producing chemicals utilized in the manufacturing of paper and additives for the absorptive materials industry,100%,,,1.0
H.C. Starck Infrastructure GmbH & Co. KG,Indirect subsidiaries > H.C. Starck Infrastructure GmbH & Co. KG,H.C. Starck Infrastructure GmbH & Co. KG,"(ii) Munich, Germany",Deep processing of nonferrous metals and precious metals (Tungsten),100%,,,1.0
ChemiLytics GmbH & Co. KG,Indirect subsidiaries > ChemiLytics GmbH & Co. KG,ChemiLytics GmbH & Co. KG,"(ii) Goslar, Germany",Chemical analysis and physical measurement data,100%,,,1.0
H.C. Starck Tungsten GmbH,Indirect subsidiaries > H.C. Starck Tungsten GmbH,H.C. Starck Tungsten GmbH,"(ii) Munich, Germany",Deep processing of nonferrous metals and precious metals (Tungsten),100%,,,1.0
