row_label_raw,row_label_full,Related Party,Nature of transactions,2022VND'000,2021VND'000,numeric__Nature of transactions,numeric__2022VND'000,numeric__2021VND'000
Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,,,
Masan Group,Masan Group,Masan Group,Borrowings received,"797,240,000","241,676,000",,,
Corporation (“MSN”),Corporation (“MSN”),Corporation (“MSN”),Borrowings repaid,"181,676,000","60,000,000",,,
Corporation (“MSN”),Corporation (“MSN”),Corporation (“MSN”),Interest expense,"26,195,625","9,850,057",,,
Corporation (“MSN”),Corporation (“MSN”),Corporation (“MSN”),Loan collected,-,"1,143,479,452",,,
Corporation (“MSN”),Corporation (“MSN”),Corporation (“MSN”),Interest income from loan granted,-,"4,342,451",,,
Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,Ultimate parent company’s associate,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Interest expense and borrowing fees,"127,007,920","107,712,636",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Borrowings received,"1,688,168,551","1,621,482,534",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Borrowings repaid,"1,961,417,271","1,393,426,927",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond proceeds received (i),"290,000,000","1,000,000,000",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond repurchased,"45,176,200","109,198,100",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Purchase of trading securities,-,"212,874,260",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Sales of trading securities,-,"213,756,230",,,
Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,Ultimate parent company’s subsidiary,,,
Masan Consumer Corporation,Masan Consumer Corporation,Masan Consumer Corporation,Purchase of goods,"1,351,022","1,157,083",,,
Masan Consumer Corporation,Masan Consumer Corporation > Masan Consumer Corporation,Masan Consumer Corporation,Purchase of services,"122,030","786,573",,122.03,786.573
WinCommerce JSC,WinCommerce JSC,WinCommerce JSC,Bond interest,"24,127,446",-,,,
Masan Meatlife Corporation,Masan Meatlife Corporation,Masan Meatlife Corporation,Bond interest,"5,748,164",-,,,
