row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Công ty con:Tên công ty,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Địa chỉ,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hoạt động chính,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích kinh tế tại31/12/2022 và 1/1/2022,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Địa chỉ,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hoạt động chính,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích kinh tế tại31/12/2022 và 1/1/2022
Công ty con trực tiếpCông ty TNHH MTV Tài Nguyên Masan TháiNguyên (“MRTN”),Công ty con trực tiếpCông ty TNHH MTV Tài Nguyên Masan TháiNguyên (“MRTN”),Công ty con trực tiếpCông ty TNHH MTV Tài Nguyên Masan TháiNguyên (“MRTN”),(i) Thành phốHồ Chí Minh,Tư vấn quản lý,100%,,,1.0
Công ty con gián tiếpCông ty TNHH MTV Thương mại và Đầu tư TháiNguyên (“TNTI”),Công ty con gián tiếpCông ty TNHH MTV Thương mại và Đầu tư TháiNguyên (“TNTI”),Công ty con gián tiếpCông ty TNHH MTV Thương mại và Đầu tư TháiNguyên (“TNTI”),(i) Thành phốHồ Chí Minh,Tư vấn quản lý,100%,,,1.0
Công ty TNHH Khai thác Chế biến Khoáng sảnNúi Pháo (“NPM”) (*),Công ty TNHH Khai thác Chế biến Khoáng sảnNúi Pháo (“NPM”) (*),Công ty TNHH Khai thác Chế biến Khoáng sảnNúi Pháo (“NPM”) (*),(i) Tinh Thái Nguyên,Khai thác và chế biến khoáng sản,100%,,,1.0
Công ty TNHH Vonfram Masan (“MTC”),Công ty TNHH Vonfram Masan (“MTC”),Công ty TNHH Vonfram Masan (“MTC”),(i) Tinh Thái Nguyên,Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),100%,,,1.0
H.C. Starck Holding (Germany) GmbH (“HCS”)(**),H.C. Starck Holding (Germany) GmbH (“HCS”)(**),H.C. Starck Holding (Germany) GmbH (“HCS”)(**),"(i) Goslar, Đức",Tư vấn quản lý,100%,,,1.0
ChemiLytics Beteiligungs GmbH,ChemiLytics Beteiligungs GmbH,ChemiLytics Beteiligungs GmbH,"(ii) Goslar, Đức",Tư vấn quản lý,100%,,,1.0
H.C. Starck GmbH,H.C. Starck GmbH,H.C. Starck GmbH,"(ii) Goslar, Đức",Tư vấn quản lý,100%,,,1.0
Chemische Fabriken Oker und Branschweig AG,Chemische Fabriken Oker und Branschweig AG,Chemische Fabriken Oker und Branschweig AG,"(ii) Goslar, Đức",Sản xuất hóa chất dùng trong sản xuất giấy và phụ gia cho ngành vật liệu hấp thụ,100%,,,1.0
H.C. Starck Infrastructure GmbH & Co. KG,H.C. Starck Infrastructure GmbH & Co. KG,H.C. Starck Infrastructure GmbH & Co. KG,"(ii) Munich, Đức",Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),100%,,,1.0
ChemiLytics GmbH & Co. KG,ChemiLytics GmbH & Co. KG,ChemiLytics GmbH & Co. KG,"(ii) Goslar, Đức",Phân tích hóa học và dữ liệu đo lường vật lý,100%,,,1.0
H.C. Starck Tungsten GmbH,H.C. Starck Tungsten GmbH,H.C. Starck Tungsten GmbH,"(ii) Munich, Đức",Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),100%,,,1.0
