row_label_raw,row_label_full,Từ ngày 1/1/2021 đến ngày 31/12/2021,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,56.404.090,1.347.940.363,11.912.310.136,247.635.257,13.564.289.846,56404090.0,1347940363.0,11912310136.0,247635257.0,13564289846.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,24.352.149,884.982.004,1.285.882.254,75.188.100,2.270.404.507,24352149.0,884982004.0,1285882254.0,75188100.0,2270404507.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(1.083.653.073),,,,,-1083653073.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,344.622.946,,,,,344622946.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(1.435.452.204),,,,,-1435452204.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,3.064.567,,,,,3064567.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,98.986.743,,,,,98986743.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,142.172.892,,,,,142172892.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(84.643.721),,,,,-84643721.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,,,,,104.607.715,,,,,104607715.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,261.123.629,,,,,261123629.0
