row_label_raw,row_label_full,col_0,col_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1,numeric__col_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1
Bên liên quan,Bên liên quan,Bên liên quan,Bản chất của giao dịch,2022Nghìn VND,2021Nghìn VND,,,
Cán bộ quản lý chủ chốt,Bên liên quan > Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,"Lương, thưởng và các phúc lợi khác (ii)",23.084.039,39.110.438,,23084039.0,39110438.0
