row_label_raw,row_label_full,Taxes payable to State Treasury,Taxes payable to State Treasury_1,Taxes payable to State Treasury_2,Taxes payable to State Treasury_3,Taxes payable to State Treasury_4,Taxes payable to State Treasury_5,numeric__Taxes payable to State Treasury_1,numeric__Taxes payable to State Treasury_2,numeric__Taxes payable to State Treasury_3,numeric__Taxes payable to State Treasury_4,numeric__Taxes payable to State Treasury_5
,,,1/1/2022VND’000,IncurredVND’000,Paid/OffsetVND’000,Currency translation differencesVND’000,31/12/2022VND’000,,,,,
Tax payables to Vietnamese State Treasury,Tax payables to Vietnamese State Treasury,Tax payables to Vietnamese State Treasury,Tax payables to Vietnamese State Treasury,Tax payables to Vietnamese State Treasury,Tax payables to Vietnamese State Treasury,Tax payables to Vietnamese State Treasury,Tax payables to Vietnamese State Treasury,,,,,
Value added tax,Value added tax,Value added tax,-,"474,598,937","(474,598,937)",-,-,,,,,
Import-export tax,Import-export tax,Import-export tax,-,"221,906,308","(221,906,308)",-,-,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"1,098,337","21,875,844","(1,220,340)",-,"21,753,841",,,,,
Environment protection tax,Environment protection tax,Environment protection tax,-,"20,868,536","(20,868,536)",-,-,,,,,
Personal income tax,Personal income tax,Personal income tax,"9,166,108","136,288,922","(136,431,063)",-,"9,023,967",,,,,
Natural resource tax,Natural resource tax,Natural resource tax,-,"459,285,699","(459,285,699)",-,-,,,,,
Other taxes,Natural resource tax > Other taxes,Other taxes,"4,747,871","27,968,089","(31,937,046)",-,"778,914",,,,,778.914
,,,"15,012,316","1,362,792,335","(1,346,247,929)",-,"31,556,722",,,,,
Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"82,426,819","23,386,722","(45,928,004)","(2,014,291)","57,871,246",,,,,
Other taxes,Other taxes,Other taxes,"69,519,419","314,018,907","(311,455,063)","(1,304,695)","70,778,568",,,,,
,,,"151,946,238","337,405,629","(357,383,067)","(3,318,986)","128,649,814",,,,,
,,,"166,958,554","1,700,197,964","(1,703,630,996)","(3,318,986)","160,206,536",,,,,
