row_label_raw,row_label_full,Tangible fixed assets,Tangible fixed assets_1,Tangible fixed assets_2,Tangible fixed assets_3,Tangible fixed assets_4,Tangible fixed assets_5,Tangible fixed assets_6,numeric__Tangible fixed assets_1,numeric__Tangible fixed assets_2,numeric__Tangible fixed assets_3,numeric__Tangible fixed assets_4,numeric__Tangible fixed assets_5,numeric__Tangible fixed assets_6
,,,Buildings and structures VND'000,Machinery and equipment VND'000,Office equipment VND'000,Motor vehicles VND'000,Other mining assets VND'000,Total VND'000,,,,,,
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"6,743,406,255","17,419,670,614","42,933,174","21,400,899","5,095,926,136","29,323,337,078",,,,,,
Additions,Opening balance > Additions,Additions,"391,256","38,983,984",-,-,-,"39,375,240",391.256,,,,,
Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),"167,508,265","72,485,557",-,-,-,"239,993,822",,,,,,
Disposals,Transfer from construction in progress (Note 13) > Disposals,Disposals,"(395,994)","(31,284,905)",-,-,-,"(31,680,899)",-395.994,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,"(38,758,045)","(138,376,754)",-,-,-,"(177,134,799)",,,,,,
Other movement,Other movement,Other movement,"2,363,112","(6,578,161)",-,-,-,"(4,215,049)",,,,,,
Closing balance,Closing balance,Closing balance,"6,874,514,849","17,354,900,335","42,933,174","21,400,899","5,095,926,136","29,389,675,393",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"1,996,121,341","7,862,707,742","40,969,267","15,405,212","1,491,303,864","11,406,507,426",,,,,,
Charge for the period,Opening balance > Charge for the period,Charge for the period,"312,730,930","772,459,169","708,691","1,971,835","153,422,332","1,241,292,957",,,708.691,,,
Disposals,Opening balance > Disposals,Disposals,"(154,973)","(28,521,198)",-,-,-,"(28,676,171)",-154.973,,,,,
Currency translation differences,Currency translation differences,Currency translation differences,"(11,221,934)","(82,544,773)",-,-,-,"(93,766,707)",,,,,,
Closing balance,Closing balance,Closing balance,"2,297,475,364","8,524,100,940","41,677,958","17,377,047","1,644,726,196","12,525,357,505",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Opening balance,Opening balance,"4,747,284,914","9,556,962,872","1,963,907","5,995,687","3,604,622,272","17,916,829,652",,,,,,
Closing balance,Closing balance,Closing balance,"4,577,039,485","8,830,799,395","1,255,216","4,023,852","3,451,199,940","16,864,317,888",,,,,,
