row_label_raw,row_label_full,Name,Position,2022 VND'000,2021 VND'000,numeric__Position,numeric__2022 VND'000,numeric__2021 VND'000
Board of Directors,Board of Directors,Board of Directors,Board of Directors,Board of Directors,Board of Directors,,,
Mr. Danny Le,Mr. Danny Le,Mr. Danny Le,Chairman,-,-,,,
Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,First Vice Chairman,-,-,,,
Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,Member,-,-,,,
Mr. Akira Osada,Mr. Akira Osada,Mr. Akira Osada,Member,-,-,,,
Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Independent member,-,-,,,
General Director,General Director,General Director,General Director,General Director,General Director,,,
Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,General Director (*),"23,795,957","39,110,438",,,
