row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_4,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_5,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_6,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_7,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_8,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_5,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_6,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_7,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_8
,,,Đất Nghìn VND,Phần mềm máy vi tính Nghìn VND,Quyền khai thác khoáng sản Nghìn VND,Chi phí triển khai (*) Nghìn VND,Tên thương hiệu Nghìn VND,Quan hệ với khách hàng Nghìn VND,Công nghệ Nghìn VND,Tài sản cố định vô hình khác Nghìn VND,Tổng cộng Nghìn VND,,,,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,31.680.480,401.281.221,792.655.211,622.125.055,1.016.396.767,208.741.491,1.402.017.279,25.515.615,4.500.413.119,31680480.0,401281221.0,792655211.0,622125055.0,1016396767.0,208741491.0,1402017279.0,25515615.0,4500413119.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13)),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13)),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13)),-,94.079,-,-,-,-,-,-,94.079,,94079.0,,,,,,,94079.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(51.770),-,-,-,-,-,-,-,(51.770),-51770.0,,,,,,,,-51770.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(732.570),(6.597.846),-,(13.972.653),(22.827.821),(4.688.241),(31.488.687),(886.828),(81.194.646),-732570.0,-6597846.0,,-13972653.0,-22827821.0,-4688241.0,-31488687.0,-886828.0,-81194646.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,30.896.140,394.777.454,792.655.211,608.152.402,993.568.946,204.053.250,1.370.528.592,24.628.787,4.419.260.782,30896140.0,394777454.0,792655211.0,608152402.0,993568946.0,204053250.0,1370528592.0,24628787.0,4419260782.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,376.062.493,235.734.415,121.396.847,54.090.753,9.305.674,108.179.644,4.915.883,909.685.709,,376062493.0,235734415.0,121396847.0,54090753.0,9305674.0,108179644.0,4915883.0,909685709.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,11.977.537,47.063.729,34.659.720,33.235.082,5.717.703,66.469.020,1.675.775,200.798.566,,11977537.0,47063729.0,34659720.0,33235082.0,5717703.0,66469020.0,1675775.0,200798566.0
