row_label_raw,row_label_full,col_0,31/12/2022VND'000,1/1/2022VND'000,numeric__31/12/2022VND'000,numeric__1/1/2022VND'000
Operating costs,Operating costs,Operating costs,"250,115,192","344,017,462",,
Accrual for land leases costs,Accrual for land leases costs,Accrual for land leases costs,"104,361,498","93,960,478",,
Accrued interest payable,Accrued interest payable,Accrued interest payable,"254,515,802","214,245,456",,
Accrual for other financing costs,Accrual for other financing costs,Accrual for other financing costs,"1,550,261","1,791,962",,
Consultant fee,Accrual for other financing costs > Consultant fee,Consultant fee,"15,851,304","474,240",,474.24
Natural resource taxes and fees,Natural resource taxes and fees,Natural resource taxes and fees,"138,872,954","159,686,751",,
Bonus,Bonus,Bonus,"46,335,612","180,705,685",,
Accrual for construction work,Accrual for construction work,Accrual for construction work,"3,597,485","3,364,036",,
Others,Others,Others,"3,455,775","2,298,368",,
,,,"818,655,883","1,000,544,438",,
