row_label_raw,row_label_full,col_0,1/1/2022Carrying amount and amount within repayment capacityVND’000,AdditionsVND’000,Movement during the year > PaymentsVND’000,Movement during the year > Unrealised foreign exchange differencesVND’000,Converted foreign exchange differencesVND’000,31/12/2022Carrying amount and amount within repayment capacity (Note 2(c))VND’000,numeric__1/1/2022Carrying amount and amount within repayment capacityVND’000,numeric__AdditionsVND’000,numeric__Movement during the year > PaymentsVND’000,numeric__Movement during the year > Unrealised foreign exchange differencesVND’000,numeric__Converted foreign exchange differencesVND’000,numeric__31/12/2022Carrying amount and amount within repayment capacity (Note 2(c))VND’000
Short-term borrowings,Short-term borrowings,Short-term borrowings,"3,801,630,387","8,447,891,713","(6,441,091,614)","(23,921,172)","33,732,137","5,818,241,451",,,,,,
Current portion of long-term bonds (Note 19(b)),Current portion of long-term bonds (Note 19(b)),Current portion of long-term bonds (Note 19(b)),"998,462,786","7,288,771,170","(1,000,000,000)",-,-,"7,287,233,956",,,,,,
,,,"4,800,093,173","15,736,662,883","(7,441,091,614)","(23,921,172)","33,732,137","13,105,475,407",,,,,,
