row_label_raw,row_label_full,Từ ngày 1/1/2022 đến ngày 31/12/2022,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,48.416.484,1.758.590.684,13.465.667.192,276.873.294,15.549.547.654,48416484.0,1758590684.0,13465667192.0,276873294.0,15549547654.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,25.930.926,1.139.099.632,1.145.139.540,66.684.012,2.376.854.110,25930926.0,1139099632.0,1145139540.0,66684012.0,2376854110.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,(1.040.951.784),,,,,-1040951784.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,470.233.836,,,,,470233836.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(1.917.493.323),,,,,-1917493323.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,13.938.538,,,,,13938538.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,(97.418.623),,,,,-97418623.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,171.642.933,,,,,171642933.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(96.870.711),,,,,-96870711.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,,,,,127.797.459,,,,,127797459.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,105.151.058,,,,,105151058.0
