row_label_raw,row_label_full,col_0,Code,Note,2022 VND'000,2021 VND'000,numeric__Code,numeric__Note,numeric__2022 VND'000,numeric__2021 VND'000
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,,"15,562,992,329","13,583,641,781",1.0,,,
Revenue deductions,Revenue deductions,Revenue deductions,02,,"13,444,675","19,351,935",2.0,,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,25,"15,549,547,654","13,564,289,846",10.0,25.0,,
Cost of sales,Cost of sales,Cost of sales,11,,"13,172,693,544","11,293,885,339",11.0,,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"2,376,854,110","2,270,404,507",20.0,,,
Financial income,Financial income,Financial income,21,26,"470,233,836","344,622,946",21.0,26.0,,
Financial expenses,Financial expenses,Financial expenses,22,27,"1,917,493,323","1,435,452,204",22.0,27.0,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"1,194,553,796","1,145,321,327",23.0,,,
Share of profit in associates,Share of profit in associates,Share of profit in associates,24,,"13,938,538","3,064,567",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,28,"452,974,941","445,622,393",25.0,28.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,29,"587,976,843","638,030,680",26.0,29.0,,
Net operating (loss)/profit(30 = 20 + 21 - 22 + 24 - 25 - 26),Net operating (loss)/profit(30 = 20 + 21 - 22 + 24 - 25 - 26),Net operating (loss)/profit(30 = 20 + 21 - 22 + 24 - 25 - 26),30,,"(97,418,623)","98,986,743",30.0,,,
Other income,Other income,Other income,31,30,"171,642,933","142,172,892",31.0,30.0,,
Other expenses,Other expenses,Other expenses,32,31,"96,870,711","84,643,721",32.0,31.0,,
Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),40,,"74,772,222","57,529,171",40.0,,,
Accounting (loss)/profit before tax(50 = 30 + 40),Accounting (loss)/profit before tax(50 = 30 + 40),Accounting (loss)/profit before tax(50 = 30 + 40),50,,"(22,646,401)","156,515,914",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,32,"45,262,566","59,707,083",51.0,32.0,,
Income tax benefit – deferred,Income tax benefit – deferred,Income tax benefit – deferred,52,32,"(173,060,025)","(164,314,798)",52.0,32.0,,
Net profit after tax(60 = 50 - 51 - 52)(carried to next page),Net profit after tax(60 = 50 - 51 - 52)(carried to next page),Net profit after tax(60 = 50 - 51 - 52)(carried to next page),60,,"105,151,058","261,123,629",60.0,,,
