row_label_raw,row_label_full,col_0,Khôi phục hiện trường Nghìn VND,Quyền khai thác khoáng sản Nghìn VND,Quỹ hưu trí và phụ cấp khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Khôi phục hiện trường Nghìn VND,numeric__Quyền khai thác khoáng sản Nghìn VND,numeric__Quỹ hưu trí và phụ cấp khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,108.699.881,533.118.494,5.708.906.771,6.350.725.146,108699881.0,533118494.0,5708906771.0,6350725146.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,5.130.634,10.349.352,68.449.171,83.929.157,5130634.0,10349352.0,68449171.0,83929157.0
Tái xác định dự phòng trợ cấp hưu trí (*),Tái xác định dự phòng trợ cấp hưu trí (*),Tái xác định dự phòng trợ cấp hưu trí (*),-,-,(1.241.558.061),(1.241.558.061),,,-1241558061.0,-1241558061.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,(173.145.651),(215.735.697),(388.881.348),,-173145651.0,-215735697.0,-388881348.0
Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,-,-,(181.432.751),(181.432.751),,,-181432751.0,-181432751.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,113.830.515,370.322.195,4.138.629.433,4.622.782.143,113830515.0,370322195.0,4138629433.0,4622782143.0
