row_label_raw,row_label_full,Segment reporting,Segment reporting_1,Segment reporting_2,Segment reporting_3,Segment reporting_4,Segment reporting_5,numeric__Segment reporting_1,numeric__Segment reporting_2,numeric__Segment reporting_3,numeric__Segment reporting_4,numeric__Segment reporting_5
Business segments,Business segments,Business segments,Business segments,Business segments,Business segments,Business segments,Business segments,,,,,
The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,The Group comprises the following business segments:,,,,,
From 1/1/2022 to 31/12/2022,From 1/1/2022 to 31/12/2022,From 1/1/2022 to 31/12/2022,Copper VND’000,Fluorspar VND’000,Tungsten VND’000,Others VND’000,Total VND’000,,,,,
Segment revenue,Segment revenue,Segment revenue,"48,416,484","1,758,590,684","13,465,667,192","276,873,294","15,549,547,654",,,,,
Segment gross profit,Segment gross profit,Segment gross profit,"25,930,926","1,139,099,632","1,145,139,540","66,684,012","2,376,854,110",,,,,
Unallocated expenses,Unallocated expenses,Unallocated expenses,,,,,"(1,040,951,784)",,,,,
Financial income,Financial income,Financial income,,,,,"470,233,836",,,,,
Financial expenses,Financial expenses,Financial expenses,,,,,"(1,917,493,323)",,,,,
Share of profit in associates,Share of profit in associates,Share of profit in associates,,,,,"13,938,538",,,,,
Results from operating activities,Results from operating activities,Results from operating activities,,,,,"(97,418,623)",,,,,
Other income,Other income,Other income,,,,,"171,642,933",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(96,870,711)",,,,,
Income tax benefit,Income tax benefit,Income tax benefit,,,,,"127,797,459",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"105,151,058",,,,,
