row_label_raw,row_label_full,col_0,2022VND'000,2021VND'000,numeric__2022VND'000,numeric__2021VND'000
Accounting (loss)/profit before tax,Accounting (loss)/profit before tax,Accounting (loss)/profit before tax,"(22,646,401)","156,515,914",,
Tax at the Company tax rate,Tax at the Company tax rate,Tax at the Company tax rate,"(4,529,280)","31,303,183",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"1,074,771","4,984,153",,
Tax incentives,Tax incentives,Tax incentives,"(20,022,083)","(27,844,449)",,
Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,"(62,717,172)","(215,184,381)",,
Effect of different tax rate in other income and recognized deferred tax,Effect of different tax rate in other income and recognized deferred tax,Effect of different tax rate in other income and recognized deferred tax,"(19,607,289)",-,,
Tax losses utilised,Tax losses utilised,Tax losses utilised,"(13,005,112)","(24,856,632)",,
Over provision for prior years,Tax losses utilised > Over provision for prior years,Over provision for prior years,"(2,403,641)","(158,554)",,-158.554
(Reversal)/write down of deferred tax assets,(Reversal)/write down of deferred tax assets,(Reversal)/write down of deferred tax assets,"(66,541,153)","35,745,813",,
Change in unrecognised deferred tax assets arise from temporary differences,Change in unrecognised deferred tax assets arise from temporary differences,Change in unrecognised deferred tax assets arise from temporary differences,"59,953,500","91,403,152",,
,,,"(127,797,459)","(104,607,715)",,
