row_label_raw,row_label_full,col_0,1/1/2022Nghìn VND,Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,Được ghi nhận trong vốn chủ sở hữuNghìn VND,31/12/2022Nghìn VND,numeric__1/1/2022Nghìn VND,numeric__Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,numeric__Được ghi nhận trong vốn chủ sở hữuNghìn VND,numeric__31/12/2022Nghìn VND
Trữ lượng khoáng sản và tài nguyên,Trữ lượng khoáng sản và tài nguyên,Trữ lượng khoáng sản và tài nguyên,(529.951.719),22.442.998,-,(507.508.721),-529951719.0,22442998.0,,-507508721.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,(45.870.277),(36.330.758),-,(82.201.035),-45870277.0,-36330758.0,,-82201035.0
(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(25.110.041),(8.133.641),500.944,(32.742.738),-25110041.0,-8133641.0,500944.0,-32742738.0
Tài sản từ quan hệ có trước hợp nhất kinh doanh,Tài sản từ quan hệ có trước hợp nhất kinh doanh,Tài sản từ quan hệ có trước hợp nhất kinh doanh,16.036.546,(4.009.137),-,12.027.409,16036546.0,-4009137.0,,12027409.0
Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),653.730.131,32.989.777,(460.913.229),225.806.679,653730131.0,32989777.0,-460913229.0,225806679.0
Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,187.233.236,95.094.262,(3.779.959),278.547.539,187233236.0,95094262.0,-3779959.0,278547539.0
Tài sản vô hình được xác định từ hợp nhất kinh doanh,Tài sản vô hình được xác định từ hợp nhất kinh doanh,Tài sản vô hình được xác định từ hợp nhất kinh doanh,(878.862.616),40.248.626,19.978.491,(818.635.499),-878862616.0,40248626.0,19978491.0,-818635499.0
Tài sản hữu hình được xác định từ hợp nhất kinh doanh,Tài sản hữu hình được xác định từ hợp nhất kinh doanh,Tài sản hữu hình được xác định từ hợp nhất kinh doanh,(635.445.223),37.416.126,14.747.206,(583.281.891),-635445223.0,37416126.0,14747206.0,-583281891.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,(45.127.623),(3.484.635),(1.017.705),(49.629.963),-45127623.0,-3484635.0,-1017705.0,-49629963.0
"Chi phí phải trả, các khoản dự phòng và các khoản khác","Chi phí phải trả, các khoản dự phòng và các khoản khác","Chi phí phải trả, các khoản dự phòng và các khoản khác",56.261.493,(3.173.593),7.798.381,60.886.281,56261493.0,-3173593.0,7798381.0,60886281.0
,,,(1.247.106.093),173.060.025,(422.685.871),(1.496.731.939),-1247106093.0,173060025.0,-422685871.0,-1496731939.0
