row_label_raw,row_label_full,col_0,Mine rehabilitation VND'000,Mining rights VND'000,Pensions and others VND'000,Total VND'000,numeric__Mine rehabilitation VND'000,numeric__Mining rights VND'000,numeric__Pensions and others VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"108,699,881","533,118,494","5,708,906,771","6,350,725,146",,,,
Provision made during the year,Provision made during the year,Provision made during the year,"5,130,634","10,349,352","68,449,171","83,929,157",,,,
Remeasurement of provision for pensions (*),Remeasurement of provision for pensions (*),Remeasurement of provision for pensions (*),-,-,"(1,241,558,061)","(1,241,558,061)",,,,
Provision used during the year,Provision used during the year,Provision used during the year,-,"(173,145,651)","(215,735,697)","(388,881,348)",,,,
Currency translation differences,Currency translation differences,Currency translation differences,-,-,"(181,432,751)","(181,432,751)",,,,
Closing balance,Closing balance,Closing balance,"113,830,515","370,322,195","4,138,629,433","4,622,782,143",,,,
