row_label_raw,row_label_full,col_0,Buildings and structures VND'000,Land VND'000,Total VND'000,numeric__Buildings and structures VND'000,numeric__Land VND'000,numeric__Total VND'000
Cost,Cost,Cost,Cost,Cost,Cost,,,
Opening balance,Opening balance,Opening balance,"1,122,125,344","34,048,909","1,156,174,253",,,
Currency translation difference,Opening balance > Currency translation difference,Currency translation difference,"(25,789,739)","(764,722)","(26,554,461)",,-764.722,
Closing balance,Closing balance,Closing balance,"1,096,335,605","33,284,187","1,129,619,792",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"355,626,945",-,"355,626,945",,,
Charge for the period,Charge for the period,Charge for the period,"59,801,040",-,"59,801,040",,,
Currency translation difference,Currency translation difference,Currency translation difference,"(8,211,195)",-,"(8,211,195)",,,
Closing balance,Closing balance,Closing balance,"407,216,790",-,"407,216,790",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening balance,Opening balance,Opening balance,"766,498,399","34,048,909","800,547,308",,,
Closing balance,Closing balance,Closing balance,"689,118,815","33,284,187","722,403,002",,,
