row_label_raw,row_label_full,col_0,2022VND'000,2021VND'000,numeric__2022VND'000,numeric__2021VND'000
Current tax expense,Current tax expense,Current tax expense,Current tax expense,Current tax expense,,
Current year,Current year,Current year,"47,666,207","59,865,637",,
Over provision for prior years,Current year > Over provision for prior years,Over provision for prior years,"(2,403,641)","(158,554)",,-158.554
,,,"45,262,566","59,707,083",,
Deferred tax benefit,Deferred tax benefit,Deferred tax benefit,Deferred tax benefit,Deferred tax benefit,,
Origination and reversal of temporary differences,Origination and reversal of temporary differences,Origination and reversal of temporary differences,"(9,336,031)","(200,060,611)",,
Benefit of tax losses recognised,Benefit of tax losses recognised,Benefit of tax losses recognised,"(97,182,841)",-,,
(Reversal)/write down of deferred tax assets,(Reversal)/write down of deferred tax assets,(Reversal)/write down of deferred tax assets,"(66,541,153)","35,745,813",,
,,,"(173,060,025)","(164,314,798)",,
Income tax benefit,Income tax benefit,Income tax benefit,"(127,797,459)","(104,607,715)",,
