row_label_raw,row_label_full,col_0,2022Nghìn VND,2021Nghìn VND,numeric__2022Nghìn VND,numeric__2021Nghìn VND
Chi phí thuế hiện hành,Chi phí thuế hiện hành,Chi phí thuế hiện hành,Chi phí thuế hiện hành,Chi phí thuế hiện hành,,
Năm hiện hành,Chi phí thuế hiện hành > Năm hiện hành,Năm hiện hành,47.666.207,59.865.637,47666207.0,59865637.0
Dự phòng thừa trong những năm trước,Chi phí thuế hiện hành > Dự phòng thừa trong những năm trước,Dự phòng thừa trong những năm trước,(2.403.641),(158.554),-2403641.0,-158554.0
,,,45.262.566,59.707.083,45262566.0,59707083.0
Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,,
Phát sinh và hoàn nhập chênh lệch tạm thời,Lợi ích thuế thu nhập hoãn lại > Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,(9.336.031),(200.060.611),-9336031.0,-200060611.0
Lợi ích của lỗ tính thuế được ghi nhận,Lợi ích thuế thu nhập hoãn lại > Lợi ích của lỗ tính thuế được ghi nhận,Lợi ích của lỗ tính thuế được ghi nhận,(97.182.841),-,-97182841.0,
(Hoàn nhập)/ghi giảm tài sản thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại > (Hoàn nhập)/ghi giảm tài sản thuế thu nhập hoãn lại,(Hoàn nhập)/ghi giảm tài sản thuế thu nhập hoãn lại,(66.541.153),35.745.813,-66541153.0,35745813.0
,,,(173.060.025),(164.314.798),-173060025.0,-164314798.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập hoãn lại > Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,(127.797.459),(104.607.715),-127797459.0,-104607715.0
