row_label_raw,row_label_full,col_0,Prepaid land cost and land compensation costs VND'000,Other mining costs VND'000,Incremental costs of obtaining contract (*) VND'000,Others VND'000,Total VND'000,numeric__Prepaid land cost and land compensation costs VND'000,numeric__Other mining costs VND'000,numeric__Incremental costs of obtaining contract (*) VND'000,numeric__Others VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"1,379,226,939","1,761,847,439","157,032,274","188,876,490","3,486,983,142",,,,,
Additions,Additions,Additions,-,"180,106,351",-,"52,948,512","233,054,863",,,,,
Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),Transfer from construction in progress (Note 13),-,-,-,"3,359,516","3,359,516",,,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,"(81,324,893)","(171,736,690)","(26,178,476)","(97,996,644)","(377,236,703)",,,,,
Closing balance,Closing balance,Closing balance,"1,297,902,046","1,770,217,100","130,853,798","147,187,874","3,346,160,818",,,,,
