row_label_raw,row_label_full,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > From 1/1/2022 to 31/12/2022,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > CopperVND’000,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > FluorsparVND’000,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > TungstenVND’000,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > OthersVND’000,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > TotalVND’000,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > CopperVND’000,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > FluorsparVND’000,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > TungstenVND’000,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > OthersVND’000,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance) > TotalVND’000
Capital expenditure,Capital expenditure,Capital expenditure,"150,046,047",-,"651,625,175",-,"801,671,222",,,,,
Unallocated capital expenditure,Unallocated capital expenditure,Unallocated capital expenditure,,,,,"528,365,274",,,,,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"11,892,120","45,295,587","551,863,213","130,225,998","739,276,918",,,,,
Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,,,,,"762,615,645",,,,,
Unallocated amortization of prepayment,Unallocated amortization of prepayment,Unallocated amortization of prepayment,,,,,"377,236,703",,,,,
From 1/1/2021 to 31/12/2021,From 1/1/2021 to 31/12/2021,From 1/1/2021 to 31/12/2021,CopperVND’000,FluorsparVND’000,TungstenVND’000,OthersVND’000,TotalVND’000,,,,,
Capital expenditure,Capital expenditure,Capital expenditure,-,-,"112,758,089","164,118,584","276,876,673",,,,,
Unallocated capital expenditure,Unallocated capital expenditure,Unallocated capital expenditure,,,,,"644,683,303",,,,,
Depreciation and amortisation,Depreciation and amortisation,Depreciation and amortisation,"11,728,610","44,344,098","679,307,009","69,379,559","804,759,276",,,,,
Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,Unallocated depreciation and amortisation,,,,,"783,851,503",,,,,
Unallocated amortization of prepayment,Unallocated amortization of prepayment,Unallocated amortization of prepayment,,,,,"308,082,904",,,,,
