row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2022Nghìn VND,1/1/2022Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022Nghìn VND,numeric__1/1/2022Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,12.228.222.738,10.576.736.330,100.0,,12228222738.0,10576736330.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,1.502.879.248,1.043.789.572,110.0,5.0,1502879248.0,1043789572.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,802.638.824,644.789.572,111.0,,802638824.0,644789572.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,700.240.424,399.000.000,112.0,,700240424.0,399000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,6(a),8.110.000,7.400.000,120.0,,8110000.0,7400000.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,8.110.000,7.400.000,123.0,,8110000.0,7400000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.940.659.090,2.652.953.397,130.0,,2940659090.0,2652953397.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,2.170.552.039,1.988.261.387,131.0,7.0,2170552039.0,1988261387.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,371.552.598,243.425.908,132.0,,371552598.0,243425908.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,413.428.141,421.266.102,136.0,8.0,413428141.0,421266102.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,(14.873.688),-,137.0,,-14873688.0,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,9,6.858.167.780,5.930.372.391,140.0,9.0,6858167780.0,5930372391.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,6.905.038.000,5.958.352.149,141.0,,6905038000.0,5958352149.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(46.870.220),(27.979.758),149.0,,-46870220.0,-27979758.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,918.406.620,942.220.970,150.0,,918406620.0,942220970.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,74.887.091,46.128.020,151.0,,74887091.0,46128020.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,807.301.517,896.037.352,152.0,,807301517.0,896037352.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,,36.218.012,55.598,153.0,,36218012.0,55598.0
