row_label_raw,row_label_full,Từ ngày 1/1/2022 đến ngày 31/12/2022,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,150.046.047,-,651.625.175,-,801.671.222,150046047.0,,651625175.0,,801671222.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,528.365.274,,,,,528365274.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,11.892.120,45.295.587,551.863.213,130.225.998,739.276.918,11892120.0,45295587.0,551863213.0,130225998.0,739276918.0
Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,762.615.645,,,,,762615645.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,377.236.703,,,,,377236703.0
Từ ngày 1/1/2021 đến ngày 31/12/2021,Từ ngày 1/1/2021 đến ngày 31/12/2021,Từ ngày 1/1/2021 đến ngày 31/12/2021,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn của bộ phận,Từ ngày 1/1/2021 đến ngày 31/12/2021 > Chi tiêu vốn của bộ phận,Chi tiêu vốn của bộ phận,-,-,112.758.089,164.118.584,276.876.673,,,112758089.0,164118584.0,276876673.0
Chi tiêu vốn không phân bổ,Từ ngày 1/1/2021 đến ngày 31/12/2021 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,644.683.303,,,,,644683303.0
Khấu hao tài sản cố định,Từ ngày 1/1/2021 đến ngày 31/12/2021 > Khấu hao tài sản cố định,Khấu hao tài sản cố định,11.728.610,44.344.098,679.307.009,69.379.559,804.759.276,11728610.0,44344098.0,679307009.0,69379559.0,804759276.0
Khấu hao tài sản cố định không phân bổ,Từ ngày 1/1/2021 đến ngày 31/12/2021 > Khấu hao tài sản cố định không phân bổ,Khấu hao tài sản cố định không phân bổ,,,,,783.851.503,,,,,783851503.0
Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Từ ngày 1/1/2021 đến ngày 31/12/2021 > Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,Chi phí trả trước kết chuyển vào hoạt động sản xuất kinh doanh chung không phân bổ theo bộ phận,,,,,308.082.904,,,,,308082904.0
