row_label_raw,row_label_full,col_0,2022VND’000,2021VND’000,numeric__2022VND’000,numeric__2021VND’000
Net profit for the period,Net profit for the period,Net profit for the period,"105,151,058","261,123,629",,
Non-controlling interest,Non-controlling interest,Non-controlling interest,"36,126,441","65,512,309",,
Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,"69,024,617","195,611,320",,
