row_label_raw,row_label_full,Tài sản cố định hữu hình,Tài sản cố định hữu hình_1,Tài sản cố định hữu hình_2,Tài sản cố định hữu hình_3,Tài sản cố định hữu hình_4,Tài sản cố định hữu hình_5,Tài sản cố định hữu hình_6,numeric__Tài sản cố định hữu hình_1,numeric__Tài sản cố định hữu hình_2,numeric__Tài sản cố định hữu hình_3,numeric__Tài sản cố định hữu hình_4,numeric__Tài sản cố định hữu hình_5,numeric__Tài sản cố định hữu hình_6
,,,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.743.406.255,17.419.670.614,42.933.174,21.400.899,5.095.926.136,29.323.337.078,6743406255.0,17419670614.0,42933174.0,21400899.0,5095926136.0,29323337078.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,391.256,38.983.984,-,-,-,39.375.240,391256.0,38983984.0,,,,39375240.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),167.508.265,72.485.557,-,-,-,239.993.822,167508265.0,72485557.0,,,,239993822.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(395.994),(31.284.905),-,-,-,(31.680.899),-395994.0,-31284905.0,,,,-31680899.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(38.758.045),(138.376.754),-,-,-,(177.134.799),-38758045.0,-138376754.0,,,,-177134799.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,2.363.112,(6.578.161),-,-,-,(4.215.049),2363112.0,-6578161.0,,,,-4215049.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.874.514.849,17.354.900.335,42.933.174,21.400.899,5.095.926.136,29.389.675.393,6874514849.0,17354900335.0,42933174.0,21400899.0,5095926136.0,29389675393.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.996.121.341,7.862.707.742,40.969.267,15.405.212,1.491.303.864,11.406.507.426,1996121341.0,7862707742.0,40969267.0,15405212.0,1491303864.0,11406507426.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,312.730.930,772.459.169,708.691,1.971.835,153.422.332,1.241.292.957,312730930.0,772459169.0,708691.0,1971835.0,153422332.0,1241292957.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(154.973),(28.521.198),-,-,-,(28.676.171),-154973.0,-28521198.0,,,,-28676171.0
Chênh lệch do chuyển đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(11.221.934),(82.544.773),-,-,-,(93.766.707),-11221934.0,-82544773.0,,,,-93766707.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.297.475.364,8.524.100.940,41.677.958,17.377.047,1.644.726.196,12.525.357.505,2297475364.0,8524100940.0,41677958.0,17377047.0,1644726196.0,12525357505.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.747.284.914,9.556.962.872,1.963.907,5.995.687,3.604.622.272,17.916.829.652,4747284914.0,9556962872.0,1963907.0,5995687.0,3604622272.0,17916829652.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.577.039.485,8.830.799.395,1.255.216,4.023.852,3.451.199.940,16.864.317.888,4577039485.0,8830799395.0,1255216.0,4023852.0,3451199940.0,16864317888.0
