row_label_raw,row_label_full,Lợi nhuận thuần trong năm,2022(Nghìn VND) > 105.151.058,2021(Nghìn VND) > 261.123.629,numeric__2022(Nghìn VND) > 105.151.058,numeric__2021(Nghìn VND) > 261.123.629
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,36.126.441,65.512.309,36126441.0,65512309.0
Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,69.024.617,195.611.320,69024617.0,195611320.0
