row_label_raw,row_label_full,col_0,1/1/2022VND’000,Recognisedin consolidatedstatement of incomeVND’000,Recognisedin equityVND’000,31/12/2022VND’000,numeric__1/1/2022VND’000,numeric__Recognisedin consolidatedstatement of incomeVND’000,numeric__Recognisedin equityVND’000,numeric__31/12/2022VND’000
Mineral reserves and mineral resources,Mineral reserves and mineral resources,Mineral reserves and mineral resources,"(529,951,719)","22,442,998",-,"(507,508,721)",,,,
Long-term assets,Long-term assets,Long-term assets,"(45,870,277)","(36,330,758)",-,"(82,201,035)",,,,
Unrealized (loss)/profit on intra-group transactions,Long-term assets > Unrealized (loss)/profit on intra-group transactions,Unrealized (loss)/profit on intra-group transactions,"(25,110,041)","(8,133,641)","500,944","(32,742,738)",,,500.944,
Pre-existing relationship asset,Pre-existing relationship asset,Pre-existing relationship asset,"16,036,546","(4,009,137)",-,"12,027,409",,,,
Remeasurement of provision for pension liabilities (**),Remeasurement of provision for pension liabilities (**),Remeasurement of provision for pension liabilities (**),"653,730,131","32,989,777","(460,913,229)","225,806,679",,,,
Tax losses carry-forwards,Tax losses carry-forwards,Tax losses carry-forwards,"187,233,236","95,094,262","(3,779,959)","278,547,539",,,,
Identified intangible assets from business combination,Identified intangible assets from business combination,Identified intangible assets from business combination,"(878,862,616)","40,248,626","19,978,491","(818,635,499)",,,,
Identified tangible assets from business combination,Identified tangible assets from business combination,Identified tangible assets from business combination,"(635,445,223)","37,416,126","14,747,206","(583,281,891)",,,,
Investment in associates,Investment in associates,Investment in associates,"(45,127,623)","(3,484,635)","(1,017,705)","(49,629,963)",,,,
"Accrual, provisions and others","Accrual, provisions and others","Accrual, provisions and others","56,261,493","(3,173,593)","7,798,381","60,886,281",,,,
,,,"(1,247,106,093)","173,060,025","(422,685,871)","(1,496,731,939)",,,,
