row_label_raw,row_label_full,col_0,Code,Note,2022VND'000,2021VND'000,numeric__Code,numeric__Note,numeric__2022VND'000,numeric__2021VND'000
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,,
(Loss)/profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > (Loss)/profit before tax,(Loss)/profit before tax,01,,"(22,646,401)","156,515,914",1.0,,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,,"1,501,892,563","1,588,610,779",2.0,,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,,"108,590,016","(16,222,267)",3.0,,,
Exchange (gains)/losses arising from revaluation of monetary items denominated in foreign currencies,Adjustments for > Exchange (gains)/losses arising from revaluation of monetary items denominated in foreign currencies,Exchange (gains)/losses arising from revaluation of monetary items denominated in foreign currencies,04,,"(59,317,383)","15,702,294",4.0,,,
Profits from investing activities,Adjustments for > Profits from investing activities,Profits from investing activities,05,,"(25,200,709)","(13,211,344)",5.0,,,
Interest expense and borrowing fees,Adjustments for > Interest expense and borrowing fees,Interest expense and borrowing fees,06,27,"1,194,553,796","1,145,321,327",6.0,27.0,,
Operating profit before changes in working capital,Adjustments for > Operating profit before changes in working capital,Operating profit before changes in working capital,08,,"2,697,871,882","2,876,716,703",8.0,,,
Change in receivables and other assets,Adjustments for > Change in receivables and other assets,Change in receivables and other assets,09,,"(338,066,179)","(716,340,962)",9.0,,,
Change in inventories,Adjustments for > Change in inventories,Change in inventories,10,,"(946,685,853)","(989,210,501)",10.0,,,
Change in payables and other liabilities,Adjustments for > Change in payables and other liabilities,Change in payables and other liabilities,11,,"772,041,277","(353,209,060)",11.0,,,
Change in prepaid expenses,Adjustments for > Change in prepaid expenses,Change in prepaid expenses,12,,"84,860,443","43,334,353",12.0,,,
,,,,,"2,270,021,570","861,290,533",,,,
Interest paid,Adjustments for > Interest paid,Interest paid,14,,"(1,096,550,489)","(1,330,110,196)",14.0,,,
Income tax paid,Adjustments for > Income tax paid,Income tax paid,15,,"(47,148,344)","(123,278,973)",15.0,,,
Net cash flows from operating activities,Adjustments for > Net cash flows from operating activities,Net cash flows from operating activities,20,,"1,126,322,737","(592,098,636)",20.0,,,
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
Payments for additions to fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets and other long-term assets,Payments for additions to fixed assets and other long-term assets,21,,"(1,330,036,496)","(921,559,976)",21.0,,,
Proceeds from disposals of fixed assets and other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets and other long-term assets,Proceeds from disposals of fixed assets and other long-term assets,22,,"3,194,364","21,625,809",22.0,,,
Payments for term deposit,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for term deposit,Payments for term deposit,23,,"(8,110,000)",-,23.0,,,
Term deposits received and receipts from collecting loans,CASH FLOWS FROM INVESTING ACTIVITIES > Term deposits received and receipts from collecting loans,Term deposits received and receipts from collecting loans,24,,"7,400,000","1,143,479,452",24.0,,,
"Business combination, net of cash acquired","CASH FLOWS FROM INVESTING ACTIVITIES > Business combination, net of cash acquired","Business combination, net of cash acquired",25,,-,"26,476,816",25.0,,,
Payment for investment in other entities,CASH FLOWS FROM INVESTING ACTIVITIES > Payment for investment in other entities,Payment for investment in other entities,25,,"(1,342,363,039)",-,25.0,,,
Receipt of interest,CASH FLOWS FROM INVESTING ACTIVITIES > Receipt of interest,Receipt of interest,27,,"11,632,392","29,522,173",27.0,,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,,"(2,658,282,779)","299,544,274",30.0,,,
