row_label_raw,row_label_full,col_0,31/12/2022Nghìn VND,1/1/2022Nghìn VND,numeric__31/12/2022Nghìn VND,numeric__1/1/2022Nghìn VND
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,
Phải thu tiền cấp quyền khai thác khoáng sản (a),Phải thu ngắn hạn khác > Phải thu tiền cấp quyền khai thác khoáng sản (a),Phải thu tiền cấp quyền khai thác khoáng sản (a),244.772.921,241.979.433,244772921.0,241979433.0
Phải thu tiền bồi thường bảo hiểm (b),Phải thu ngắn hạn khác > Phải thu tiền bồi thường bảo hiểm (b),Phải thu tiền bồi thường bảo hiểm (b),14.873.688,74.794.500,14873688.0,74794500.0
Trả trước phí bảo vệ môi trường,Phải thu ngắn hạn khác > Trả trước phí bảo vệ môi trường,Trả trước phí bảo vệ môi trường,114.239.595,43.000.000,114239595.0,43000000.0
Trả trước thuế nhập khẩu,Phải thu ngắn hạn khác > Trả trước thuế nhập khẩu,Trả trước thuế nhập khẩu,-,19.568.139,,19568139.0
Phải thu thuế nhập khẩu,Phải thu ngắn hạn khác > Phải thu thuế nhập khẩu,Phải thu thuế nhập khẩu,1.431.323,17.175.216,1431323.0,17175216.0
Lãi tiền gửi,Phải thu ngắn hạn khác > Lãi tiền gửi,Lãi tiền gửi,394.574,902.662,394574.0,902662.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,37.716.040,23.846.152,37716040.0,23846152.0
,,,413.428.141,421.266.102,413428141.0,421266102.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND,,,,
Tỉnh Thái Nguyên (c),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Tỉnh Thái Nguyên (c),Tỉnh Thái Nguyên (c),1.230.754.171,1.230.754.171,1230754171.0,1230754171.0
Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),Nộp tiền ký quỹ cho Quỹ Bảo vệ Môi trường (d),78.049.195,69.638.018,78049195.0,69638018.0
Tài sản phúc lợi xác định thuần,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Tài sản phúc lợi xác định thuần,Tài sản phúc lợi xác định thuần,85.153.285,43.599.772,85153285.0,43599772.0
Phải thu dài hạn khác,Phải thu tiền bồi thường giải phóng mặt bằng từ UBND > Phải thu dài hạn khác,Phải thu dài hạn khác,9.297.648,582.828,9297648.0,582828.0
,,,1.403.254.299,1.344.574.789,1403254299.0,1344574789.0
