row_label_raw,row_label_full,col_0,31/12/2022VND’000,1/1/2022VND’000,numeric__31/12/2022VND’000,numeric__1/1/2022VND’000
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,
Receivable for mining rights fee (a),Receivable for mining rights fee (a),Receivable for mining rights fee (a),"244,772,921","241,979,433",,
Receivable for insurance claim (b),Receivable for insurance claim (b),Receivable for insurance claim (b),"14,873,688","74,794,500",,
Environmental protection fee prepayment,Environmental protection fee prepayment,Environmental protection fee prepayment,"114,239,595","43,000,000",,
Export tax prepayment,Export tax prepayment,Export tax prepayment,-,"19,568,139",,
Export tax receivable,Export tax receivable,Export tax receivable,"1,431,323","17,175,216",,
Interest income,Export tax receivable > Interest income,Interest income,"394,574","902,662",394.574,902.662
Others,Others,Others,"37,716,040","23,846,152",,
,,,"413,428,141","421,266,102",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,
Land compensation receivable from Thai Nguyen People’s Committee (c),Land compensation receivable from Thai Nguyen People’s Committee (c),Land compensation receivable from Thai Nguyen People’s Committee (c),"1,230,754,171","1,230,754,171",,
Deposit paid to Environment Protection Fund (d),Deposit paid to Environment Protection Fund (d),Deposit paid to Environment Protection Fund (d),"78,049,195","69,638,018",,
Net defined benefit assets,Net defined benefit assets,Net defined benefit assets,"85,153,285","43,599,772",,
Others,Net defined benefit assets > Others,Others,"9,297,648","582,828",,582.828
,,,"1,403,254,299","1,344,574,789",,
