row_label_raw,row_label_full,col_0,Số đầu năm,Trình bày lại,Số đầu năm(Trình bày lại),numeric__Số đầu năm,numeric__Trình bày lại,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,Triệu VND,,,
Bảo cáo tình hình tài chính hợp nhất,Bảo cáo tình hình tài chính hợp nhất,Bảo cáo tình hình tài chính hợp nhất,Bảo cáo tình hình tài chính hợp nhất,Bảo cáo tình hình tài chính hợp nhất,Bảo cáo tình hình tài chính hợp nhất,,,
Cho vay khách hàng,Bảo cáo tình hình tài chính hợp nhất > Cho vay khách hàng,Cho vay khách hàng,511.153.150,2.587.778,513.740.928,511153150.0,2587778.0,513740928.0
Cho vay khách hàng,Bảo cáo tình hình tài chính hợp nhất > Cho vay khách hàng,Cho vay khách hàng,519.949.991,2.607.333,522.557.324,519949991.0,2607333.0,522557324.0
Dự phòng rủi ro cho vay khách hàng,Bảo cáo tình hình tài chính hợp nhất > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(8.796.841),(19.555),(8.816.396),-8796841.0,-19555.0,-8816396.0
Tải sản có khác,Bảo cáo tình hình tài chính hợp nhất > Tải sản có khác,Tải sản có khác,49.959.904,(2.587.778),44.372.126,49959904.0,-2587778.0,44372126.0
Các khoản phải thu,Bảo cáo tình hình tài chính hợp nhất > Các khoản phải thu,Các khoản phải thu,33.481.806,(2.607.333),30.874.473,33481806.0,-2607333.0,30874473.0
Dự phòng rủi ro cho các tài sản Có nội bảng khác,Bảo cáo tình hình tài chính hợp nhất > Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,(124.212),19.555,(104.657),-124212.0,19555.0,-104657.0
Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,,,
Thu nhập lãi và các khoản thu nhập tương tự,Bảo cáo kết quả hoạt động hợp nhất > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,50.487.346,23.683,50.511.029,50487346.0,23683.0,50511029.0
Thu nhập lãi thuần,Bảo cáo kết quả hoạt động hợp nhất > Thu nhập lãi thuần,Thu nhập lãi thuần,21.232.119,23.683,21.255.802,21232119.0,23683.0,21255802.0
Thu nhập tử hoạt động dịch vụ,Bảo cáo kết quả hoạt động hợp nhất > Thu nhập tử hoạt động dịch vụ,Thu nhập tử hoạt động dịch vụ,1.569.532,(23.683),1.545.849,1569532.0,-23683.0,1545849.0
Lãi thuần tử hoạt động dịch vụ,Bảo cáo kết quả hoạt động hợp nhất > Lãi thuần tử hoạt động dịch vụ,Lãi thuần tử hoạt động dịch vụ,1.283.420,(23.683),1.259.737,1283420.0,-23683.0,1259737.0
Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được,Bảo cáo lưu chuyển tiền tệ hợp nhất > Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,52.149.012,23.683,52.172.695,52149012.0,23683.0,52172695.0
Thu nhập tử hoạt động dịch vụ nhận được,Bảo cáo lưu chuyển tiền tệ hợp nhất > Thu nhập tử hoạt động dịch vụ nhận được,Thu nhập tử hoạt động dịch vụ nhận được,1.349.038,(23.683),1.325.355,1349038.0,-23683.0,1325355.0
Thay đổi các khoản cho vay khách hàng,Bảo cáo lưu chuyển tiền tệ hợp nhất > Thay đổi các khoản cho vay khách hàng,Thay đổi các khoản cho vay khách hàng,(81.485.844),2.607.333,(78.878.511),-81485844.0,2607333.0,-78878511.0
Thay đổi khác về tài sản hoạt động,Bảo cáo lưu chuyển tiền tệ hợp nhất > Thay đổi khác về tài sản hoạt động,Thay đổi khác về tài sản hoạt động,(12.772.057),(2.607.333),(15.379.390),-12772057.0,-2607333.0,-15379390.0
