row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.360.370,480.604,22.917,4.863.891,4360370.0,480604.0,22917.0,4863891.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,255.265,-,255.265,,255265.0,,255265.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,101,123,224,,101.0,123.0,224.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.360.370,735.970,23.040,5.119.380,4360370.0,735970.0,23040.0,5119380.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.912,335.918,19.918,362.748,6912.0,335918.0,19918.0,362748.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,44.880,999,46.037,158.0,44880.0,999.0,46037.0
Chênh lệch tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,101,123,224,,101.0,123.0,224.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.070,380.899,21.040,409.009,7070.0,380899.0,21040.0,409009.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,4.353.458,144.686,2.999,4.501.143,4353458.0,144686.0,2999.0,4501143.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,4.353.300,355.071,2.000,4.710.371,4353300.0,355071.0,2000.0,4710371.0
