row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu năm(Trình bày lại)Triệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu năm(Trình bày lại)Triệu VND
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,1.072.272,1.334.812,1072272.0,1334812.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,194.578.238,167.791.350,194578238.0,167791350.0
Công ty cổ phần có vốn Nhà nước chiểm giữ trên 50%,Công ty cổ phần có vốn Nhà nước chiểm giữ trên 50%,Công ty cổ phần có vốn Nhà nước chiểm giữ trên 50%,3.755.431,4.268.833,3755431.0,4268833.0
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,311.461.788,263.467.481,311461788.0,263467481.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,3.244,1.846,3244.0,1846.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,1.277.640,1.774.117,1277640.0,1774117.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,803.689,36.382,803689.0,36382.0
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,34.459,47.862,34459.0,47862.0
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",101.875.219,83.834.641,101875219.0,83834641.0
,,,614.861.980,522.557.324,614861980.0,522557324.0
