row_label_raw,row_label_full,col_0,Dự phòng chứng khoán đầu tư sãn sàng để bán,Dự phòng chứng khoán đầu tư sãn sàng để bán_1,Dự phòng chứng khoán đầu tư sãn sàng để bán_2,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,Tổng cộng,numeric__Dự phòng chứng khoán đầu tư sãn sàng để bán,numeric__Dự phòng chứng khoán đầu tư sãn sàng để bán_1,numeric__Dự phòng chứng khoán đầu tư sãn sàng để bán_2,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__Tổng cộng
,,,Dự phòng chung,Dự phòng cụ thể,Dự phòng giảm giả,Dự phòng chung,Dự phòng cụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm(Hoàn nhập) trong năm,Số dư đầu năm(Hoàn nhập) trong năm,Số dư đầu năm(Hoàn nhập) trong năm,64.010(28.937),933(933),384(88),-,368.575(368.575),433.902(398.533),,,,,,
Số dư cuối năm,Số dư đầu năm(Hoàn nhập) trong năm > Số dư cuối năm,Số dư cuối năm,35.073,-,296,-,-,35.369,35073.0,,296.0,,,35369.0
