row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tảiTriệu VND,Thiết bịdụng cụ quản lýTriệu VND,Tài sản cố địnhhửu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận tảiTriệu VND,numeric__Thiết bịdụng cụ quản lýTriệu VND,numeric__Tài sản cố địnhhửu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,706.613,214.153,215.063,444.425,715,1.580.969,706613.0,214153.0,215063.0,444425.0,715.0,1580969.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,7.398,3.059,11.485,69.955,-,91.897,7398.0,3059.0,11485.0,69955.0,,91897.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,882,339,183,262,19,1.685,882.0,339.0,183.0,262.0,19.0,1685.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.251),(17.080),(7.255),(24.547),-,(55.133),-6251.0,-17080.0,-7255.0,-24547.0,,-55133.0
(Giảm)/ Tăng khác,Nguyên giá > (Giảm)/ Tăng khác,(Giảm)/ Tăng khác,(1.053),(446),-,631,-,(868),-1053.0,-446.0,,631.0,,-868.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,707.589,200.025,219.476,490.726,734,1.618.550,707589.0,200025.0,219476.0,490726.0,734.0,1618550.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,227.003,148.551,134.644,243.448,441,754.087,227003.0,148551.0,134644.0,243448.0,441.0,754087.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,22.587,5.759,13.879,45.434,16,87.675,22587.0,5759.0,13879.0,45434.0,16.0,87675.0
Chênh lệch tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,787,320,165,248,18,1.538,787.0,320.0,165.0,248.0,18.0,1538.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.046),(16.846),(7.231),(24.195),-,(53.318),-5046.0,-16846.0,-7231.0,-24195.0,,-53318.0
(Giảm)/ Tăng khác,Giá trị khấu hao lũy kế > (Giảm)/ Tăng khác,(Giảm)/ Tăng khác,(85),-,-,85,-,-,-85.0,,,85.0,,
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,245.246,137.784,141.457,265.020,475,789.982,245246.0,137784.0,141457.0,265020.0,475.0,789982.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,479.610,65.602,80.419,200.977,274,826.882,479610.0,65602.0,80419.0,200977.0,274.0,826882.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,462.343,62.241,78.019,225.706,259,828.568,462343.0,62241.0,78019.0,225706.0,259.0,828568.0
