row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01.,01.,Mua sắm tài sản cố định,(347.162),(210.732),,-347162.0,-210732.0
02.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",1.323,2.474,,1323.0,2474.0
03.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 03.,03.,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",(1.904),(1.232),,-1904.0,-1232.0
04.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 04.,04.,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(33.410),-,,-33410.0,
05.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 05.,05.,"Tiền thu cố tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",35.408,29.502,,35408.0,29502.0
II.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(345.745),(179.988),,-345745.0,-179988.0
LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01.,01.,Tăng vốn cố phần từ phát hành cố phiếu,-,435.104,,,435104.0
02.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 02.,02.,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,8.030.000,-,,8030000.0,
03.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 03.,03.,"Cố tức trả cho cố đông, lợi nhuận đã chia",(2.011.887),(1.746.493),,-2011887.0,-1746493.0
III.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,6.018.113,(1.311.389),,6018113.0,-1311389.0
IV.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV.,IV.,Lưu chuyển tiền thuần trong năm,40.590.185,10.457.748,,40590185.0,10457748.0
V.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > V.,V.,Tiền và các khoản tương đương tiền đầu năm,121.317.534,110.859.786,,121317534.0,110859786.0
VI.,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI.,VI.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 37),161.907.719,121.317.534,,161907719.0,121317534.0
