row_label_raw,row_label_full,Bà Ngô Thu Hà,Tổng Giám đốc (Người đại diện theo pháp luật),numeric__Tổng Giám đốc (Người đại diện theo pháp luật)
Ông Lê Đăng Khoa,Ông Lê Đăng Khoa,Ông Lê Đăng Khoa,Phó Tổng Giám đốc,
Ông Nguyễn Huy Tài,Ông Nguyễn Huy Tài,Ông Nguyễn Huy Tài,Phó Tổng Giám đốc,
Bà Ninh Thị Lan Phương,Bà Ninh Thị Lan Phương,Bà Ninh Thị Lan Phương,Phó Tổng Giám đốc,
Ông Đỗ Đức Hải,Ông Đỗ Đức Hải,Ông Đỗ Đức Hải,Phó Tổng Giám đốc,
Ông Đỗ Quang Vinh,Ông Đỗ Quang Vinh,Ông Đỗ Quang Vinh,Phó Tổng Giám đốc,
Ông Đình Ngọc Dũng,Ông Đình Ngọc Dũng,Ông Đình Ngọc Dũng,Phó Tổng Giám đốc (bố nhiệm ngày 01 tháng 12 năm 2025),
Bà Nguyễn Thị Thủy Phương,Bà Nguyễn Thị Thủy Phương,Bà Nguyễn Thị Thủy Phương,Phó Tổng Giám đốc (bố nhiệm ngày 19 tháng 01 năm 2026),
Bà Ngô Thị Vân,Bà Ngô Thị Vân,Bà Ngô Thị Vân,Kế toán trưởng,
