row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,2.038.380,1.563.509,,5.0,2038380.0,1563509.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Trung ương,6,34.354.634,27.436.936,,6.0,34354634.0,27436936.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,137.105.636,117.348.823,,7.0,137105636.0,117348823.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,126.105.441,92.635.563,,,126105441.0,92635563.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,11.000.195,24.713.260,,,11000195.0,24713260.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,9,41,4.910.456,,9.0,41.0,4910456.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,461,4.949.608,,,461.0,4949608.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(420),(39.152),,,-420.0,-39152.0
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,10,140.580,-,,10.0,140580.0,
VI.,A. > VI.,VI.,Cho vay khách hàng,,604.363.682,513.740.928,,,604363682.0,513740928.0
1.,A. > 1.,1.,Cho vay khách hàng,11,614.861.980,522.557.324,,11.0,614861980.0,522557324.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,12,(10.498.298),(8.816.396),,12.0,-10498298.0,-8816396.0
VII.,A. > VII.,VII.,Chứng khoán đầu tư,13,28.300.025,32.335.975,,13.0,28300025.0,32335975.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,13.1,12.162.380,14.956.915,,131.0,12162380.0,14956915.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,16.173.014,17.812.962,,132.0,16173014.0,17812962.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,13.4,(35.369),(433.902),,134.0,-35369.0,-433902.0
VIII.,A. > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",14,413.789,441.291,,14.0,413789.0,441291.0
1.,A. > 1.,1.,Đầu tư vào công ty liên kết,14.1,342.326,370.014,,141.0,342326.0,370014.0
2.,A. > 2.,2.,Đầu tư dài hạn khác,14.2,158.272,158.272,,142.0,158272.0,158272.0
3.,A. > 3.,3.,Dự phòng giảm giá đầu tư dài hạn,14.3,(86.809),(86.995),,143.0,-86809.0,-86995.0
IX.,A. > IX.,IX.,Tài sản cố định,,5.538.939,5.328.025,,,5538939.0,5328025.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,15,828.568,826.882,,15.0,828568.0,826882.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,1.618.550,1.580.969,,,1618550.0,1580969.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(789.982),(754.087),,,-789982.0,-754087.0
2.,A. > 2.,2.,Tài sản cố định vô hình,16,4.710.371,4.501.143,,16.0,4710371.0,4501143.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,5.119.380,4.863.891,,,5119380.0,4863891.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(409.009),(362.748),,,-409009.0,-362748.0
X.,A. > X.,X.,Tài sản Có khác,17,79.753.003,44.372.126,,17.0,79753003.0,44372126.0
1.,A. > 1.,1.,Các khoản phải thu,,65.335.811,30.874.473,,,65335811.0,30874473.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,12.957.715,12.221.898,,,12957715.0,12221898.0
3.,A. > 3.,3.,Tài sản thuế TNDN hoãn lại,,10.450,-,,,10450.0,
4.,A. > 4.,4.,Tài sản Có khác,17.3,1.503.840,1.380.412,,173.0,1503840.0,1380412.0
5.,A. > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,17.4,(54.813),(104.657),,174.0,-54813.0,-104657.0
TỔNG TÀI SẢN CỐ,A. > TỔNG TÀI SẢN CỐ,TỔNG TÀI SẢN CỐ,TỔNG TÀI SẢN CỐ,TỔNG TÀI SẢN CỐ,892.008.709,747.478.069,,,892008709.0,747478069.0
