row_label_raw,row_label_full,col_0,Dự phòng chứng khoán đầu tư sẵn sàng để bán,Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,Dự phòng chứng khoán đầu tư sẵn sàng để bán_2,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,Tổng cộng,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán_2,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__Tổng cộng
,,,Dự phòng chung,Dự phòng cụ thể,Dự phòng giảm giá,Dự phòng chung,Dự phòng cụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm(Hoàn nhập)/Trích lập trong năm,Số dư đầu năm(Hoàn nhập)/Trích lập trong năm,Số dư đầu năm(Hoàn nhập)/Trích lập trong năm,65.774(1.764),-933,29787,3.949(3.949),73.715294.860,143.735290.167,,-933.0,29787.0,,73715294860.0,143735290167.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,64.010,933,384,-,368.575,433.902,64010.0,933.0,384.0,,368575.0,433902.0
