row_label_raw,row_label_full,CHỈ TIÊU,Tín dụng > Triệu VND,Đầu tư > Triệu VND,Dịch vụ > Triệu VND,Nguồn vốn > Triệu VND,Tổng cộng > Triệu VND,numeric__Tín dụng > Triệu VND,numeric__Đầu tư > Triệu VND,numeric__Dịch vụ > Triệu VND,numeric__Nguồn vốn > Triệu VND,numeric__Tổng cộng > Triệu VND
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,,,,,
Thu nhập lãi và các khoản thu nhập tương tự,Kết quả kinh doanh bộ phận > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,51.370.892,2.119.430,-,3.832.767,57.323.089,51370892.0,2119430.0,,3832767.0,57323089.0
Thu nhập từ hoạt động dịch vụ,Kết quả kinh doanh bộ phận > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,-,-,3.427.918,-,3.427.918,,,3427918.0,,3427918.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Kết quả kinh doanh bộ phận > Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,-,258.188,-,-,258.188,,258188.0,,,258188.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Kết quả kinh doanh bộ phận > Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,-,42.505,-,-,42.505,,42505.0,,,42505.0
Lãi thuần từ mua bán chứng khoán đầu tư,Kết quả kinh doanh bộ phận > Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,-,511.018,-,-,511.018,,511018.0,,,511018.0
Thu nhập từ hoạt động khác,Kết quả kinh doanh bộ phận > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,-,-,4.810.911,-,4.810.911,,,4810911.0,,4810911.0
"Thu nhập từ góp vốn, mua cổ phần","Kết quả kinh doanh bộ phận > Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",-,(25.690),-,-,(25.690),,-25690.0,,,-25690.0
Tại ngày 31.12.2025,Tại ngày 31.12.2025,Tại ngày 31.12.2025,Tại ngày 31.12.2025,Tại ngày 31.12.2025,Tại ngày 31.12.2025,Tại ngày 31.12.2025,Tại ngày 31.12.2025,,,,,
Tài sản,Tại ngày 31.12.2025 > Tài sản,Tài sản,673.796.776,29.660.079,25.476.839,163.075.015,892.008.709,673796776.0,29660079.0,25476839.0,163075015.0,892008709.0
1. Tài sản bộ phận,Tại ngày 31.12.2025 > 1. Tài sản bộ phận,1. Tài sản bộ phận,628.071.581,29.443.372,230.466,162.641.601,820.387.020,628071581.0,29443372.0,230466.0,162641601.0,820387020.0
2. Tài sản phân bổ,Tại ngày 31.12.2025 > 2. Tài sản phân bổ,2. Tài sản phân bổ,45.725.195,216.707,25.246.373,433.414,71.621.689,45725195.0,216707.0,25246373.0,433414.0,71621689.0
Nợ phải trả,Tại ngày 31.12.2025 > Nợ phải trả,Nợ phải trả,(4.115.025),(11.130),(1.354.293),(818.397.323),(823.877.771),-4115025.0,-11130.0,-1354293.0,-818397323.0,-823877771.0
1. Nợ phải trả bộ phận,Tại ngày 31.12.2025 > 1. Nợ phải trả bộ phận,1. Nợ phải trả bộ phận,(1.766.426),-,(57.554),(818.375.062),(820.199.042),-1766426.0,,-57554.0,-818375062.0,-820199042.0
2. Nợ phân bổ,Tại ngày 31.12.2025 > 2. Nợ phân bổ,2. Nợ phân bổ,(2.348.599),(11.130),(1.296.739),(22.261),(3.678.729),-2348599.0,-11130.0,-1296739.0,-22261.0,-3678729.0
