row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Mua sắm tài sản cố định và xây dựng cơ bản đở dang (17.2),Mua sắm tài sản cố định và xây dựng cơ bản đở dang (17.2),Mua sắm tài sản cố định và xây dựng cơ bản đở dang (17.2),847.193,944.094,847193.0,944094.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,64.488.618,29.930.379,64488618.0,29930379.0
Trong đó:- Phải thu liên quan đến thư tín dụng trả chậm có thể thanh toán ngay,Trong đó:- Phải thu liên quan đến thư tín dụng trả chậm có thể thanh toán ngay,Trong đó:- Phải thu liên quan đến thư tín dụng trả chậm có thể thanh toán ngay,,3.926.796,,3926796.0
- Phải thu hợp đồng bán nợ,- Phải thu hợp đồng bán nợ,- Phải thu hợp đồng bán nợ,712.091,3.410.381,712091.0,3410381.0
- Phải thu liên quan đến mua hấn miễn truy đồi bộ chứng từ theo thư tín dụng do chính SHB phát hành,- Phải thu liên quan đến mua hấn miễn truy đồi bộ chứng từ theo thư tín dụng do chính SHB phát hành,- Phải thu liên quan đến mua hấn miễn truy đồi bộ chứng từ theo thư tín dụng do chính SHB phát hành,61.561.854,20.591.524,61561854.0,20591524.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,2.214.673,2.001.678,2214673.0,2001678.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,10.450,,10450.0,
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",12.957.715,12.221.898,12957715.0,12221898.0
Tài sản cố khác (17.3),Tài sản cố khác (17.3),Tài sản cố khác (17.3),1.503.840,1.380.412,1503840.0,1380412.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác (17.4),Dự phòng rủi ro cho các tài sản Có nội bằng khác (17.4),Dự phòng rủi ro cho các tài sản Có nội bằng khác (17.4),(54.813),(104.657),-54813.0,-104657.0
,,,79.753.003,44.372.126,79753003.0,44372126.0
