row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốncó phần,Cố phiếuquỹ,Quỹ đầu tưphát triển,Quỹ dựphòng tài chính,Quỹ dự trữbố sung vốnđiều lệ,Quỹ khác,Chênhlệch tỷgiá hốid đoái,Lợi nhuận sauthuế chưa phânphổi,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốncó phần,numeric__Cố phiếuquỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ dựphòng tài chính,numeric__Quỹ dự trữbố sung vốnđiều lệ,numeric__Quỹ khác,numeric__Chênhlệch tỷgiá hốid đoái,numeric__Lợi nhuận sauthuế chưa phânphổi,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,36.629.085,1.449.603,(5.260),52.111,4.297.448,2.621.650,220.624,(530.940),13.333.023,58.067.344,36629085.0,1449603.0,-5260.0,52111.0,4297448.0,2621650.0,220624.0,-530940.0,13333023.0,58067344.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),9.312.915,-,-,-,-,-,-,-,(9.312.915),-,9312915.0,,,,,,,,-9312915.0,
Chia cổ tức (Thuyết minhsố 25.4),Chia cổ tức (Thuyết minhsố 25.4),Chia cổ tức (Thuyết minhsố 25.4),-,-,-,-,-,-,-,-,(2.032.625),(2.032.625),,,,,,,,,-2032625.0,-2032625.0
Lợi nhuận sau thuế trongnăm,Lợi nhuận sau thuế trongnăm,Lợi nhuận sau thuế trongnăm,-,-,-,-,-,-,-,-,11.960.295,11.960.295,,,,,,,,,11960295.0,11960295.0
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,-,-,1.184.953,1.184.953,-,-,(2.369.906),-,,,,,1184953.0,1184953.0,,,-2369906.0,
Trích quỹ trong năm (ii),Trích quỹ trong năm (ii),Trích quỹ trong năm (ii),-,-,-,4.971,-,4.971,18.605,-,(28.547),-,,,,4971.0,,4971.0,18605.0,,-28547.0,
Chênh lệch tỷ giá hối doái,Chênh lệch tỷ giá hối doái,Chênh lệch tỷ giá hối doái,-,-,-,1.021,-,1.103,-,84.600,-,86.724,,,,1021.0,,1103.0,,84600.0,,86724.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(5.798),(38.566),-,93.564,49.200,,,,,,-5798.0,-38566.0,,93564.0,49200.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,45.942.000,1.449.603,(5.260),58.103,5.482.401,3.806.879,200.663,(446.340),11.642.889,68.130.938,45942000.0,1449603.0,-5260.0,58103.0,5482401.0,3806879.0,200663.0,-446340.0,11642889.0,68130938.0
