row_label_raw,row_label_full,Ông Phạm Hòa Bình,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Lê Thanh Cẩm,Bà Lê Thanh Cẩm,Bà Lê Thanh Cẩm,Thành viên,
Ông Vũ Xuân Thúy Sơn,Ông Vũ Xuân Thúy Sơn,Ông Vũ Xuân Thúy Sơn,Thành viên,
