row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5
,,,Không chịu lãi,Trên 3 tháng,Đến 3 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-06 tháng,Từ 06-12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỳ","Tài sản > Tiền mặt, vàng bạc, đá quỳ","Tiền mặt, vàng bạc, đá quỳ",2.038.380,,,,,,,,,2.038.380,2038380.0,,,,,,,,,2038380.0
Tiền gửi tại Trung ương,Tài sản > Tiền gửi tại Trung ương,Tiền gửi tại Trung ương,34.354.634,,,,,,,,,34.354.634,34354634.0,,,,,,,,,34354634.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),,,,120.292.997,16.182.358,131.360,440.561,58.360,,137.105.636,,,,120292997.0,16182358.0,131360.0,440561.0,58360.0,,137105636.0
Chủng khoán kinh doanh (*),Tài sản > Chủng khoán kinh doanh (*),Chủng khoán kinh doanh (*),461,,,,,,,,,461,461.0,,,,,,,,,461.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,140.580,,,,,,,,,140.580,140580.0,,,,,,,,,140580.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),,14.576.953,4.117.243,169.931.308,355.420.941,28.630.290,31.859.897,9.245.911,1.079.437,614.861.980,,14576953.0,4117243.0,169931308.0,355420941.0,28630290.0,31859897.0,9245911.0,1079437.0,614861980.0
Chủng khoán đầu tư(*),Tài sản > Chủng khoán đầu tư(*),Chủng khoán đầu tư(*),28.658,,,299.852,300.000,6.481.647,2.008.021,6.377.076,12.840.140,28.335.394,28658.0,,,299852.0,300000.0,6481647.0,2008021.0,6377076.0,12840140.0,28335394.0
