row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024VND,Ngày 31 tháng 12năm 2023VND,numeric__Ngày 31 tháng 12năm 2024VND,numeric__Ngày 31 tháng 12năm 2023VND
AUD,AUD,AUD,15.872,16.476,15872.0,16476.0
CAD,CAD,CAD,17.766,18.260,17766.0,18260.0
CHF,CHF,CHF,28.250,28.740,28250.0,28740.0
CNY,CNY,CNY,3.493,3.407,3493.0,3407.0
DKK,DKK,DKK,3.160,3.160,3160.0,3160.0
EUR,EUR,EUR,26.566,26.699,26566.0,26699.0
GBP,GBP,GBP,32.039,30.796,32039.0,30796.0
JPY,JPY,JPY,164,171,164.0,171.0
NZD,NZD,NZD,14.374,17.249,14374.0,17249.0
SEK,SEK,SEK,3.078,3.078,3078.0,3078.0
SGD,SGD,SGD,18.783,18.332,18783.0,18332.0
THB,THB,THB,640,640,640.0,640.0
USD,USD,USD,25.421,24.170,25421.0,24170.0
XAU (*),XAU (*),XAU (*),832.000,745.000,832000.0,745000.0
