row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024Triệu đồng,%,Ngày 31 tháng 12năm 2023Triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2024Triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__%_1
"Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản",2.054.559,"0,33",3.041.136,"0,61",2054559.0,0.33,3041136.0,0.61
Khai khoáng,Khai khoáng,Khai khoáng,1.519.641,"0,25",1.502.568,"0,30",1519641.0,0.25,1502568.0,0.3
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",30.747.223,"4,99",26.526.254,"5,34",30747223.0,4.99,26526254.0,5.34
"Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí",861.118,"0,14",1.408.650,"0,28",861118.0,0.14,1408650.0,0.28
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",146.670,"0,02",692.813,"0,14",146670.0,0.02,692813.0,0.14
Xây dựng,Xây dựng,Xây dựng,38.698.674,"6,28",27.538.416,"5,55",38698674.0,6.28,27538416.0,5.55
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcơ khác",70.911.252,"11,51",53.438.420,"10,76",70911252.0,11.51,53438420.0,10.76
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,12.164.350,"1,98",9.817.781,"1,98",12164350.0,1.98,9817781.0,1.98
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,18.946.107,"3,08",13.290.068,"2,68",18946107.0,3.08,13290068.0,2.68
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,1.042.484,"0,17",911.727,"0,18",1042484.0,0.17,911727.0,0.18
"Hoạt động tài chính, ngân hàng vàbảo hiểm","Hoạt động tài chính, ngân hàng vàbảo hiểm","Hoạt động tài chính, ngân hàng vàbảo hiểm",17.748.007,"2,88",20.891.311,"4,21",17748007.0,2.88,20891311.0,4.21
Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,Hoạt động kinh doanh bất độngsản,167.101.845,"27,13",96.957.430,"19,53",167101845.0,27.13,96957430.0,19.53
"Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ",3.320.412,"0,54",1.634.569,"0,33",3320412.0,0.54,1634569.0,0.33
Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,2.937.827,"0,48",1.495.928,"0,30",2937827.0,0.48,1495928.0,0.3
"Hoạt động của Đảng Cộng sản, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đảng Cộng sản, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc","Hoạt động của Đảng Cộng sản, tổchức chính trị - xã hội, quản lýNhà nước, an ninh quốc phòng;bảo đảm xã hội bắt buộc",10.696,"0,00",4.870,"0,00",10696.0,0.0,4870.0,0.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,1.072.488,"0,17",2.645.282,"0,53",1072488.0,0.17,2645282.0,0.53
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,591.474,"0,10",1.219.198,"0,25",591474.0,0.1,1219198.0,0.25
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",3.546.017,"0,58",3.833.876,"0,77",3546017.0,0.58,3833876.0,0.77
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,2.274.013,"0,37",2.012.512,"0,41",2274013.0,0.37,2012512.0,0.41
"Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiềudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiềudùng của hộ gia đình","Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tiềudùng của hộ gia đình",146.331.260,"23,76",141.761.303,"28,57",146331260.0,23.76,141761303.0,28.57
"Cho vay cá nhân để mua nhà ở,nhận quyền sử dụng đất để xãynhà ở","Cho vay cá nhân để mua nhà ở,nhận quyền sử dụng đất để xãynhà ở","Cho vay cá nhân để mua nhà ở,nhận quyền sử dụng đất để xãynhà ở",93.853.675,"15,24",85.785.626,"17,28",93853675.0,15.24,85785626.0,17.28
,,,615.879.792,100,496.409.738,100,615879792.0,100.0,496409738.0,100.0
