row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) Triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào Triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra Triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra Triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Giá trị thuần Triệu đồng > Tại ngày 31 tháng 12 năm 2024
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,174.269.112,168.471.162,(167.867.987),603.175,174269112.0,168471162.0,-167867987.0,603175.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,36.417.208,36.108.740,(36.071.453),37.287,36417208.0,36108740.0,-36071453.0,37287.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,137.851.904,132.362.422,(131.796.534),565.888,137851904.0,132362422.0,-131796534.0,565888.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,74.648.583,24.252.977,(24.888.365),(635.388),74648583.0,24252977.0,-24888365.0,-635388.0
,,,248.917.695,192.724.139,(192.756.352),(32.213),248917695.0,192724139.0,-192756352.0,-32213.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,204.200.296,191.571.768,(191.356.892),214.876,204200296.0,191571768.0,-191356892.0,214876.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,69.312.472,69.587.257,(69.467.050),120.207,69312472.0,69587257.0,-69467050.0,120207.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2023 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,134.887.824,121.984.511,(121.889.842),94.669,134887824.0,121984511.0,-121889842.0,94669.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2023 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,52.050.865,36.023.229,(36.365.726),(342.497),52050865.0,36023229.0,-36365726.0,-342497.0
,,,256.251.161,227.594.997,(227.722.618),(127.621),256251161.0,227594997.0,-227722618.0,-127621.0
