row_label_raw,row_label_full,Bên liên quan,Ngày 31 tháng 12năm 2024Triệu đồng,Ngày 31 tháng 12năm 2023Triệu đồng,numeric__Ngày 31 tháng 12năm 2024Triệu đồng,numeric__Ngày 31 tháng 12năm 2023Triệu đồng
VPB SMBC FC - Công ty con,VPB SMBC FC - Công ty con,VPB SMBC FC - Công ty con,-,5.453.780,,5453780.0
VPBankS - Công ty con,VPBankS - Công ty con,VPBankS - Công ty con,406.802,607.500,406802.0,607500.0
SMBC - Cổ đông lớn (*),SMBC - Cổ đông lớn (*),SMBC - Cổ đông lớn (*),28.287.259,26.818.473,28287259.0,26818473.0
