row_label_raw,row_label_full,col_0,Lợi nhuậnTriệu đồng,numeric__Lợi nhuậnTriệu đồng
Tăng lợi nhuận do tăng thu nhập lãi thuần,Tăng lợi nhuận do tăng thu nhập lãi thuần,Tăng lợi nhuận do tăng thu nhập lãi thuần,9.943.467,9943467.0
Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động dịch vụ,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động dịch vụ,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động dịch vụ,(2.202.993),-2202993.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động kinh doanh ngoại hồi và vàng,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động kinh doanh ngoại hồi và vàng,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động kinh doanh ngoại hồi và vàng,1.515.821,1515821.0
Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động mua bán chứng khoán kinh doanh,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động mua bán chứng khoán kinh doanh,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động mua bán chứng khoán kinh doanh,(64.241),-64241.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán đầu tư,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán đầu tư,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoán đầu tư,153.578,153578.0
Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động khác,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động khác,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động khác,(441.353),-441353.0
Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,227.223,227223.0
Giảm lợi nhuận do tăng chi phí hoạt động,Giảm lợi nhuận do tăng chi phí hoạt động,Giảm lợi nhuận do tăng chi phí hoạt động,(449.604),-449604.0
Giảm lợi nhuận do tăng chi phí dự phòng rủi ro tín dụng,Giảm lợi nhuận do tăng chi phí dự phòng rủi ro tín dụng,Giảm lợi nhuận do tăng chi phí dự phòng rủi ro tín dụng,(3.889.942),-3889942.0
Biến động lợi nhuận trước thuế,Biến động lợi nhuận trước thuế,Biến động lợi nhuận trước thuế,4.791.956,4791956.0
Biến động chi phí thuế TNDN,Biến động chi phí thuế TNDN,Biến động chi phí thuế TNDN,(916.923),-916923.0
Biến động lợi nhuận sau thuế,Biến động lợi nhuận sau thuế,Biến động lợi nhuận sau thuế,3.875.033,3875033.0
